Year,Lat,Prok,Euk,Total
1998,26-28,12.87909,13.62067,26.49975
1998,28-30,6.82951,21.9884,28.81791
1998,30-32,2.21681,16.43292,18.64973
1998,32-34,0,0,0
1998,34-36,0,0,0
2009,26-28,20.4667,6.0016,26.4682
2009,28-30,21.2376,9.9708,31.2084
2009,30-32,20.0059,9.6332,29.6391
2009,32-34,14.8432,7.9816,22.8248
2009,34-36,13.8033,10.9158,24.7191
2011,26-28,14.392,12.438,26.83
2011,28-30,13.205,16.492,29.697
2011,30-32,14.811,11.853,26.663
2011,32-34,13.742,19.892,33.634
2011,34-36,17.561,39.211,56.772
