yes? list SST[d=3,X=200:205@AVE,Y=20:50@LOC:17,T="15-JAN-1998":"15-DEC-2011"]
             VARIABLE : LATITUDE of 17 in Sea-Surface Temperature (degrees_north)
             DATA SET : AVHRR SST - Monthly
             FILENAME : monthly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/pfgac/
             SUBSET   : 168 points (TIME)
             LONGITUDE: 160W to 155W (averaged)
             LATITUDE : 20N to 50N (location of 17)
 01-OCT-2009 00 / 298:  39.95
 01-NOV-2009 00 / 299:  36.64
 01-DEC-2009 00 / 300:  33.33
 01-JAN-2010 00 / 301:  31.83
 01-FEB-2010 00 / 302:  31.19
 01-MAR-2010 00 / 303:  30.82
 01-APR-2010 00 / 304:  31.42
 01-MAY-2010 00 / 305:  35.32
 01-JUN-2010 00 / 306:  37.48
 01-JUL-2010 00 / 307:  43.68
 01-AUG-2010 00 / 308:  44.57
 01-SEP-2010 00 / 309:  44.51
 01-OCT-2010 00 / 310:  39.27
 01-NOV-2010 00 / 311:  37.06
 01-DEC-2010 00 / 312:  34.92
 01-JAN-2011 00 / 313:  33.86
 01-FEB-2011 00 / 314:  32.86
 01-MAR-2011 00 / 315:  33.46
 01-APR-2011 00 / 316:  33.55
 01-MAY-2011 00 / 317:  36.27
 01-JUN-2011 00 / 318:  39.16
 01-JUL-2011 00 / 319:  45.03
 01-AUG-2011 00 / 320:  45.54
 01-SEP-2011 00 / 321:  42.71
 01-OCT-2011 00 / 322:  40.42
 01-NOV-2011 00 / 323:  38.96
 01-DEC-2011 00 / 324:  37.10
