depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
80,40,34.75,202,0,114.5,16.8,104,63.6,245.4,3.9,2.7,25.5,0,9.7,4.3,18.1,79.1,8.1,9.5,43.9,586,629.9
100,40,34.75,202,0,0,0,15.7,11.7,35.7,0,0,2.8,0,0,0,4.7,10.1,1.4,1,5.6,97.8,103.4
125,40,34.75,202,0,0,0,5.5,2,7.9,0,0,0,0,0,0,0,4.4,0,0,0,27.2,27.2
150,40,34.75,202,0,0,0,3.1,0,4.4,0,0,0,0,0,0,0,2.1,0,0,0,17,17
200,40,34.75,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
0,39,35,202,0,116.4,7.2,127.9,44.2,272.4,4.3,4,104.9,8.5,30.9,1.3,39.9,68.1,6.3,15.7,62.3,668.3,730.6
20,39,35,202,0,194.5,14,136.4,58.3,302.9,5.3,6.5,94.5,9.2,14.5,0,34.9,73.1,7.6,15,51.7,749.8,801.5
35,39,35,202,0,50.8,3.6,55.2,22,117.7,1.9,1.9,12.3,3.4,2.3,0,11.7,28.5,3.4,5,12.6,283.2,295.8
50,39,35,202,0,89.4,4.2,75.5,36.3,156.1,3.5,2,12,5.2,2.2,0,18.6,52.3,6.7,7.8,34.7,383.8,418.6
65,39,35,202,0,38.4,2.6,64.4,33.3,135.3,2.9,1.9,10.5,4.3,2.2,0,14.9,44.6,5.4,5.9,23.5,344.8,368.3
80,39,35,202,0,28.8,1.7,38.6,21.5,83.2,3.2,1,6.7,2.3,0.9,0,10.7,22.7,3.4,4.3,14.1,211.2,225.2
100,39,35,202,0,0,0,10.5,5.7,15.9,0,0,1.5,0,0,0,2.6,10.1,1,1.3,1.2,58.7,59.9
125,39,35,202,0,0,0,5.3,1.9,6.2,0,0,0,0,0,0,0,5.1,0,0,0,26.6,26.6
150,39,35,202,0,0,0,2,0,2.5,0,0,0,0,0,0,0,2.8,0,0,0,13.2,13.2
200,39,35,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7
0,37,35.5,202,5.2,128.7,3.2,124.7,57.1,237.5,3.2,3.4,33.9,2.6,9.1,2.7,20.1,43.2,6.2,8.4,15.2,541.3,556.5
20,37,35.5,202,0,114.1,3.2,121.6,55.8,237.6,3.7,3.9,33.4,2.1,9.5,2.2,18.9,43.5,5.7,8,19.6,531.3,551
35,37,35.5,202,0,146.9,3.7,130.1,59.3,256.7,3.9,4.2,35.3,2.7,9.3,2.4,21.5,44.3,6.7,9.1,28.5,557.1,585.6
50,37,35.5,202,0,106.2,6.3,145.7,64.5,295.2,5.1,3.8,33,2.6,11.7,4,25.1,61.3,7.8,10.7,21.4,679.8,701.2
65,37,35.5,202,3.5,109.6,6.8,136.6,58.5,269.2,4.7,4.2,26,0,9.9,3.1,17.1,64.4,7.2,9,36.7,587.1,623.8
80,37,35.5,202,0,93.4,5.4,85.5,46.9,185,3.7,1.8,18.5,0,7,0,11.1,62.5,5.5,5.9,23.6,435.3,458.9
100,37,35.5,202,0,48.9,3.8,52.6,32.8,114.7,2,1.5,11.4,0,5.1,1.1,7.7,50.4,4,4.9,15.2,299.9,315.1
125,37,35.5,202,0,0,2.9,9.6,5.6,20.7,0,0,1.9,0,0,0,0,21.1,0,0,0,68.6,68.6
150,37,35.5,202,0,0,2.3,8.5,5.5,19.1,0,0,1.8,0,0,0,0,20.3,0,0,0,62.6,62.6
200,37,35.5,202,3.3,94.6,4.9,127.5,58.5,242.8,3.3,4.1,34.5,1.9,8.9,3.7,24.4,49.7,6.6,9.4,29.2,563.1,592.3
0,35,36,202,11.9,257.8,13.3,133.9,91.2,382.9,11.2,10.1,89.3,5.2,14,4.9,25.3,90.3,7.3,15.3,31.6,896.4,927.9
20,35,36,202,0,144.6,19,140.6,92.6,397.2,12,11.3,78,4.4,14.1,6.8,25,114.8,7.3,14.8,29.6,989.4,1018.9
30,35,36,202,8.3,270,23.1,144.7,99.6,385,13.3,5.5,44.8,2.7,13.9,4.1,19.2,144.6,9.4,14,28.7,950.3,979
50,35,36,202,0,130.5,20.2,123.6,88.9,314,10.7,5.3,36.4,2.6,11.1,3.2,15.5,120.4,8.5,11.8,33.9,832.5,866.4
65,35,36,202,5,115.6,24.7,123.4,81.2,301.7,11.1,5.8,35.1,3.3,11.1,3.7,16,122.5,7.7,11.9,28.7,803.5,832.2
80,35,36,202,0,100.1,20.5,117.3,76.8,289.3,13,5.3,33.6,3.3,10.8,4.6,19.3,124.5,7.7,11.3,25.8,783.8,809.6
100,35,36,202,0,78.1,15,96.3,65.9,262.3,9.5,4.7,30.7,3,9.8,3.6,16.3,98.7,6.5,9.5,25.9,683.7,709.7
125,35,36,202,0,0,2.5,5.4,4.2,11.1,0,0,1.6,0,0,0,1.1,12.9,0,0,0,45.6,45.6
150,35,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,35,36,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,9.8
