depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
50,57,30.5,202,0,0,1.4,9.7,5.7,21,0,0,4.3,0,0,0,51.3,8.4,7.3,2.9,36.8,66.3,103.1
65,57,30.5,202,0,0,1.4,9.2,5.2,23.3,0,0,2.8,0,0,0,43.2,11.3,7,1.8,45.9,63.6,109.5
80,57,30.5,202,0,0,2.4,14.4,7.2,31.4,0,0,3.5,0,0,0,70.5,37.9,16.3,3.3,94.7,89.5,184.1
100,57,30.5,202,0,15.8,6.7,61,18.5,85,1.9,0,8,0,2.9,2.4,67.7,134.7,32.6,5.1,147.8,212.3,360.1
125,57,30.5,202,0,0,0,14.8,4.2,26.4,0,0,0.9,0,0,0,3.6,38.5,8.1,0.8,18.4,51.8,70.2
150,57,30.5,202,0,0,0,14.1,3.8,24.9,0,0,1.3,0,0,0,3,33.7,5.6,0,15.8,51,66.8
200,57,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,55,31,202,0,0,0,6.6,3.7,11.3,0,1.5,7,0,0,0,33.4,0,2.8,2.3,20.5,55.2,75.7
20,55,31,202,0,0,0,6.9,3.5,13.1,0,1.3,6.9,0,0,0,37.5,3.5,3,1.9,24.8,54.7,79.5
35,55,31,202,0,0,0,7.9,3.9,18,0,1.6,4.6,0,0,0,52.9,6.6,4.6,2.2,27.5,64.5,92
50,55,31,202,0,0,0,11.2,5.6,29.3,0,1.4,4,0,0,0,45.8,10,5.2,2.1,32.7,94.4,127.1
65,55,31,202,0,0,0,19.4,8.2,44.6,0,2,5.8,0.9,0,0,49.2,15.9,8.1,2.9,57.1,133.5,190.6
80,55,31,202,0,16.1,3.2,31.8,8.7,69,0,1.6,6.3,1.9,0,0,54.7,31.1,17.3,5.5,117.9,182.3,300.2
100,55,31,202,0,45.8,3.8,112.4,14.6,99.1,2,3.2,7.2,2.8,0,0.7,48.1,66.8,28,6.6,142.9,312.6,455.4
125,55,31,202,0,12.5,0,42,5.5,40.8,0,0,3.9,1.5,0,0,13.8,8,18.4,2.2,55.7,115.7,171.4
150,55,31,202,0,0,0,6.7,0,13.5,0,0,0,0,0,0,0,4,1.6,0,2.8,25.2,27.9
200,55,31,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,54,31.25,202,0,0,0,10.4,5.4,19.4,0,1.3,18.6,0,0,0,38.3,0,3.3,4.5,23,82.1,105.1
20,54,31.25,202,0,0,0,7.6,4.8,19.7,0,0,11.8,0,0,0,53.4,3.9,4.7,3.7,28.8,75.3,104.2
35,54,31.25,202,0,0,0,11.6,7.2,27.3,0,1.6,9.9,0,0,0,62.3,0,6.4,4.3,36.3,99,135.3
50,54,31.25,202,0,0,0,15.6,10.7,38.7,0,2.2,9.8,0,0,0,76.7,17.1,10.1,4.7,65.7,128.6,194.2
65,54,31.25,202,0,12.2,3,26.8,13.2,62.9,0,2.3,8.6,0,2.4,3.2,93.2,59.5,20.2,6.1,116.3,172.8,289.1
80,54,31.25,202,0,75.2,4.9,90.9,29.7,124.6,0,3,9.5,0,4.1,4.2,57.7,127.2,28.2,5.6,134.5,285.7,420.3
100,54,31.25,202,0,48.6,2.4,80.2,27.4,80.1,0,2.8,6.5,0,2.2,1.5,23.9,118.4,22.3,3.6,71.1,254,325.1
125,54,31.25,202,0,0,0,32.5,10.5,43.8,0,0,2.1,0,1.2,0,10.1,100.2,20.5,2.3,44.5,115.9,160.4
150,54,31.25,202,0,0,0,10,2.5,15.9,0,0,0,0,0,0,0,11.2,2.5,0,4.3,34.4,38.6
200,54,31.25,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7
0,53,31.5,202,0,0,0,5.3,3.5,12.5,0,0,6.6,0,0,0,38.1,3.6,3.5,2,24,50,74
20,53,31.5,202,0,0,0,6.1,3.4,13.8,0,0,5.9,0,0,0,43.6,5.3,4.3,2.9,22.8,51.9,74.7
35,53,31.5,202,0,0,0,8.5,4.7,18.9,0,1,5.1,0,0,0,55.6,10.2,6.2,3.1,31.2,64.4,95.6
50,53,31.5,202,0,0,1.4,10.7,5,24.5,0,0,4.3,0,0,0.7,53.3,12.6,7.6,2.8,38.6,76.7,115.3
65,53,31.5,202,0,0,1.9,13,5.6,29.5,0,0,3.5,0,0,0.7,53.5,16.8,8.8,3.3,42.5,90.2,132.7
80,53,31.5,202,0,0,2.8,17.2,5.7,40.3,0,0,3.9,0,1,1.6,74.3,41.8,17.2,4,100.1,104,204.1
100,53,31.5,202,0,37.3,4,64.1,7.7,98.4,0,0,6.2,0,3.2,3,60.4,149.1,35.6,4.6,169.6,237.3,406.9
125,53,31.5,202,0,0,0,38.9,4.3,41.4,0,0,2.5,0,1.3,0,14.9,112,23.5,2,61.2,114.8,176
150,53,31.5,202,0,0,0,9.8,1.3,18.1,0,0,0,0,0,0,0,14.3,2.6,0,3.8,40,43.8
200,53,31.5,202,0,0,0,2.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0,5.8,5.8
0,51,32,202,0,0,0,12.9,3.6,20.5,0,1.3,6.9,0,0,0,34,2.3,5,2.8,29.9,78.6,108.5
20,51,32,202,0,0,0,9.6,3.8,17.5,0,1.3,7.3,0,0,0,60.8,7.1,7.3,3.3,48.1,67.9,116
35,51,32,202,0,0,0,10.2,3.6,22.5,0,1,5.4,0,0,0,67.9,13.5,9.8,3.5,61.9,83.6,145.5
50,51,32,202,0,0,6.1,8.6,3.9,24.2,0,1.5,5.7,0,0,0,61.8,16.9,11.5,3.4,73.2,86.8,160.1
65,51,32,202,0,10.1,2.1,32.2,5.1,49.7,0,1.5,6.5,1.4,0,0,66.7,36.7,18.6,4.2,113.5,139.8,253.3
80,51,32,202,0,15.2,2.6,53.4,7.1,78.4,1.7,1.5,5.7,2.1,0,0,52.3,47.5,20.7,5,140.3,201,341.3
100,51,32,202,0,27.9,3.4,67.1,9.8,89.4,2.8,1.8,7.1,2.4,0,0,49.3,53.2,19.9,4.1,126.4,238.5,364.9
125,51,32,202,0,13,1.3,37.7,5.8,40.8,0,0.8,3.8,1.1,0,0,11.5,13.8,14.3,2.7,42,120.3,162.2
150,51,32,202,0,0.7,0,10.9,1.4,21.4,0,0,1.5,0,0,0,1.6,4.5,4.5,0.8,8.6,48.8,57.4
200,51,32,202,0,0,0,2.1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2
0,49,32.5,202,0,0,1.4,37.1,15.3,48.7,0,1.1,30.8,0,1.5,0.5,31.5,6.9,8.5,7.1,24.7,152.8,177.5
20,49,32.5,202,0,11.5,2.5,36.2,12.4,54.2,0,1.3,25.6,0,2.7,1,41,16.8,5.7,5.3,27.4,159.1,186.5
35,49,32.5,202,0,7.2,3.5,38.5,13.6,64.9,0,0,23.2,0,2.7,1.4,55.2,20.7,7.4,4.8,39.5,174.8,214.3
50,49,32.5,202,0,14.4,3.9,59.2,20.8,87.8,0,1.6,24.7,0,3.3,2.1,54.5,29.1,7.5,5.6,41,233.9,274.9
65,49,32.5,202,0,53.5,6.1,104.5,33.7,135.8,0,1.8,15.1,0,4.7,2.3,47.7,50.8,11.4,6,65.4,336.6,402
80,49,32.5,202,0,27.4,4.3,93.5,27.9,108.5,0,1.4,9.2,0,3.9,2.7,31.3,64.1,11.1,5,58.4,305.7,364.1
100,49,32.5,202,2.7,27.3,3.8,110.7,34.3,109.5,0,1.3,8.5,0,3.8,1.5,24.3,62.3,10,4.6,48.4,320.2,368.6
125,49,32.5,202,0,2.8,1.8,38.7,13.1,41,0,1.2,3.5,0,1.5,0.7,6.8,39.9,5.7,2.2,17,127.5,144.4
150,49,32.5,202,0,0,0,23.6,6.9,34.2,0,0,1.7,0,1.1,0,4.9,69,13.5,1.6,30.5,80.1,110.6
200,49,32.5,202,0,0,0,2.1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7
0,47,33,202,0,0,0,31.1,12.9,40.1,0,1.2,32.5,0,1.7,0,35.2,9.5,3.7,5.4,25.6,127.8,153.4
20,47,33,202,3.6,14.5,2.5,26.5,11.9,50.7,0,1.6,23.9,0,1.9,1.6,75.8,18.3,8,5.2,50.8,131,181.7
35,47,33,202,6,32.4,2.2,47.8,19.4,85.4,0,2,20.5,0,2.8,2.9,75.6,29.4,12.3,6,69.3,192.7,262
50,47,33,202,4.4,55.3,5,79.3,31.5,142.2,1.9,3,18.1,0,5.3,4.6,50.8,65.2,13.4,7.2,65,323.8,388.8
65,47,33,202,1.3,51.6,2.9,77.7,24.9,118.4,1.9,2.3,10.6,0,3.5,2.3,30.7,69.3,10.9,4.8,52.1,274,326.1
80,47,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,47,33,202,0,12.9,1.3,42.6,13.8,45.8,0.8,1.3,4.7,0,1.2,0,9,53.5,9.1,2.8,24.1,142.5,166.6
125,47,33,202,0,0,0.9,18.6,6.3,29,0,0,1.3,0,0,0,3.9,39.4,5.9,0.6,14.6,74,88.6
150,47,33,202,0,0,0,5.6,0,12.1,0,0,0,0,0,0,0,0,1,0,0.8,22.9,23.7
200,47,33,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,33.25,202,0,0,2,34.2,13.7,55.8,0,1.3,34.4,2.9,3.2,2.6,59,14.1,6.2,6.7,42.7,168.3,211
20,46,33.25,202,3.8,20.1,1.5,37.3,15.5,63.1,0,1.6,27.7,0,2.9,2.1,66.9,16.4,8.9,6.1,50.1,171.8,221.9
35,46,33.25,202,2.9,16.4,2.9,45.3,18.1,78.9,0,1.8,22,1.3,3.6,2.9,70.8,23.8,10.4,6.1,58.4,207.2,265.6
50,46,33.25,202,2.6,38.6,2.8,68,24,113,0,2.3,15.1,0,4.4,4.1,52.1,45.1,13.3,5.9,73.6,258.2,331.8
65,46,33.25,202,0,17.8,3,77.7,27.5,90.4,2.1,2.7,8.9,0,2.6,2.9,29.5,76.7,12.5,4.5,59.6,259.6,319.2
80,46,33.25,202,0,18.6,2.3,61.3,23.1,60,1.2,1.7,5.3,0,1.8,1,15.3,66.4,10.4,3.1,36.2,201.9,238.1
100,46,33.25,202,0,0,0,24.9,9.6,35.2,0,0,2,0,0,0,5.3,31.2,5.1,0.9,12.3,95.2,107.5
125,46,33.25,202,0,0,0,12.5,4.6,22.8,0,0,1.3,0,0,0,1.4,13.7,3,0.5,4.8,51.8,56.6
150,46,33.25,202,0,0,0,8.8,2.7,12.4,0,0,0,0,0,0,0,3.8,0,0,0.2,33.6,33.8
200,46,33.25,202,0,0,0,1.2,0,2.4,0,0,0,0,0,0,0,0,0,0,0,4.9,4.9
0,45,33.5,202,0,17.6,1.9,57.8,26.1,81.1,0,1.9,36.4,0,3.4,2.3,36.9,10.4,5,5.8,30.1,232,262.1
20,45,33.5,202,0,39.6,1.8,61.4,25.5,97.6,0,1.8,30,0,4.7,2.1,44.4,17.8,7,6.3,37.8,244.4,282.2
35,45,33.5,202,0,53,4.5,71.3,27.8,126.1,0,2.5,18.4,0,5.2,2.5,51.8,31.5,9.6,6,51.1,295.7,346.8
50,45,33.5,202,0,44.9,6.4,85.1,30.6,148.8,0,3.2,15.5,0,5.5,4.9,43.2,53.9,10,6.2,58.8,355.8,414.6
65,45,33.5,202,0,60.3,5.9,77.5,27.4,129.2,0,1.8,10.3,0,4.3,3,24.7,52.5,8.3,4.6,41.6,291.2,332.7
80,45,33.5,202,0,39.5,2.1,71,25,98.3,0,1.1,8.6,0,3.5,2.3,18.5,39.8,6.9,3.7,27.7,240,267.7
100,45,33.5,202,0,22,1.9,51.4,18.4,49.9,0,0.6,5.3,0,1.9,0,6.7,35.3,4.5,1.9,14.2,156.9,171.1
125,45,33.5,202,0,0,0,16,5.4,21.5,0,0,1.2,0,0,0,2,22.5,1.2,0,0,70.1,70.1
150,45,33.5,202,0,0,0,5.7,1.5,6.5,0,0,0,0,0,0,0,0,0,0,0,18.6,18.6
200,45,33.5,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2
0,44,33.75,202,0,23.9,2.4,47.6,13,76,0,1.6,22.7,2.5,2.4,0,31.6,9.7,5.2,5.6,34.9,205.6,240.5
20,44,33.75,202,0,9.9,3.7,45.7,12.2,85,3.2,2.5,28.3,2.4,3.5,0,31,20.6,4.7,5.3,31.1,226.9,258
35,44,33.75,202,0,29,3.6,51.3,13.9,93.8,0,2.5,24.9,2.8,3.6,0,35.7,21.1,6.1,5.9,36.5,239.6,276.2
50,44,33.75,202,0,56.2,6.9,84.1,16.5,123.3,0,2.4,14.6,4.1,2.2,0,37.2,41.4,8.6,6.2,54.6,310.6,365.2
65,44,33.75,202,0,73.1,8.6,104.3,16.5,135.5,0,2.2,12.8,3.9,2.1,0,34.5,42.5,10.2,5.5,65,337.5,402.4
80,44,33.75,202,0,41.7,3.2,84.3,15,90.2,0,1.4,8.2,2.9,0,0,17.5,40.8,6.8,4.6,35.5,257.3,292.8
100,44,33.75,202,0,24.9,0,68,12.8,62.8,0,0,4.9,1.9,0,0,11.8,24.7,3.8,2.8,21.1,195.9,217
125,44,33.75,202,0,0,0,13.8,3.6,19,0,0,1,0,0,0,1.4,15.1,1.9,0.9,3.2,57.3,60.5
150,44,33.75,202,0,0,0,6.1,1,7.2,0,0,0,0,0,0,0,2.6,0,0,0,22.1,22.1
200,44,33.75,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,43,34,202,5.3,57.8,2.7,105.7,49,198.6,1.5,4.1,62,0,8.5,3.7,33.6,34.8,6.3,10.1,24.8,516,540.8
20,43,34,202,3.5,130,7.2,123.8,54,245.9,1.5,5.3,47.6,0,11.1,4.2,30.1,45,6.6,10.2,17.7,605,622.7
35,43,34,202,0,152.4,8.7,132.5,53.8,261.2,2.6,4.1,29.7,0,9.5,4.2,27.6,60.2,9.2,8.6,40.3,592.6,632.8
