depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
0,2,26,202,37.074,34.314,10.1,0,4.699,0.945,0,6.486,56.544,66.1,0.82026,0.17974,45.259,4.7994,6.486
20,2,26,202,38.48,46.182,11.11,0,6.096,0.91,0,6.063,70.361,72.6,0.90216,0.09784,57.888,6.4096,6.063
35,2,26,202,37.518,44.806,11.817,0,12.7,1.365,3.666,7.332,81.686,80,0.9954,0.0046,56.681,14.007,10.998
50,2,26,202,38.332,40.076,13.433,0,12.7,1.435,2.82,6.627,77.091,80.8,0.99908,0.00092,53.521,14.123,9.447
65,2,26,202,50.912,42.312,18.584,0,19.05,2.415,3.666,7.191,93.218,98.9,1,0,60.896,21.465,10.857
80,2,26,202,106.12,35.518,66.054,0,60.452,6.02,3.243,6.204,177.49,207.9,1,0,101.57,66.472,9.447
100,2,26,202,140.97,31.39,150.19,0,119.89,17.955,2.256,12.126,333.8,333.4,1,0,181.58,137.84,14.382
125,2,26,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,2,26,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,2,26,202,6.438,0,9.898,0,4.699,0.315,0,0,14.912,8.7,0.09702,0.90298,14.141,0.7709,0
0,3,26.25,202,37.222,42.484,0,0,6.858,1.015,0,8.601,58.958,67.7,0.84042,0.15958,43.578,6.7786,8.601
20,3,26.25,202,41.07,54.524,6.969,0,9.652,1.295,0,7.05,79.49,81.3,1,0,61.493,10.947,7.05
35,3,26.25,202,41.44,64.672,7.171,0,12.319,1.54,0,8.742,94.444,79.5,0.9891,0.0109,71.977,13.725,8.742
50,3,26.25,202,51.208,60.63,7.777,0,18.669,2.31,0,10.716,100.1,106,1,0,68.407,20.979,10.716
65,3,26.25,202,42.328,37.324,12.524,0,19.431,2.415,0,8.037,79.731,100.5,1,0,49.848,21.846,8.037
80,3,26.25,202,83.99,30.186,26.967,0,24.638,2.555,0,3.807,88.153,134.2,1,0,57.153,27.193,3.807
100,3,26.25,202,224.15,54.954,174.02,0,92.202,16.555,4.089,7.473,349.3,347.7,1,0,228.98,108.76,11.562
125,3,26.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,3,26.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,3,26.25,202,4.588,1.204,5.05,0,10.033,1.05,0,0,17.337,21.3,0.25578,0.74422,13.721,3.6162,0
0,4,26.5,202,29.896,33.798,0,0,8.128,1.015,0,6.627,49.568,53.3,0.65898,0.34102,36.57,6.3712,6.627
20,4,26.5,202,25.974,35.002,0,0,6.096,1.4,0,7.332,49.83,49.4,0.60984,0.39016,37.38,5.1176,7.332
35,4,26.5,202,28.12,43.172,0,0,11.43,1.26,0,7.614,63.476,65.5,0.8127,0.1873,45.313,10.549,7.614
50,4,26.5,202,64.38,39.302,39.895,0,49.784,6.895,0,11.562,147.44,169.3,1,0,79.197,56.679,11.562
65,4,26.5,202,80.364,44.548,36.562,0,67.945,5.425,0,9.447,163.93,187.7,1,0,81.11,73.37,9.447
80,4,26.5,202,88.652,43.344,33.027,0,33.274,2.38,0,5.781,117.81,142.9,1,0,76.371,35.654,5.781
100,4,26.5,202,114.03,28.38,94.94,0,70.358,10.78,0,13.254,217.71,243.2,1,0,123.32,81.138,13.254
125,4,26.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,4,26.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,4,26.5,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,5,26.75,202,30.562,37.152,0,0,6.985,0.945,0,7.473,52.555,62.6,0.77616,0.22384,38.716,6.3665,7.473
20,5,26.75,202,27.602,38.7,4.848,0,7.62,1.015,0,6.486,58.669,55.5,0.6867,0.3133,45.935,6.2477,6.486
35,5,26.75,202,29.008,43.344,7.373,0,9.779,1.015,0,7.332,68.843,65.3,0.81018,0.18982,52.573,8.9378,7.332
50,5,26.75,202,43.142,48.59,8.989,0,12.7,1.61,2.679,8.742,83.31,84.1,1,0,57.579,14.31,11.421
65,5,26.75,202,45.658,45.58,9.292,0,14.478,1.89,0,7.191,78.431,88.1,1,0,54.872,16.368,7.191
80,5,26.75,202,48.47,49.192,13.938,0,15.748,1.785,0,6.486,87.149,94,1,0,63.13,17.533,6.486
100,5,26.75,202,82.732,45.408,19.493,0,29.591,3.71,0,10.575,108.78,143.8,1,0,64.901,33.301,10.575
125,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,6,27,202,50.172,45.236,29.896,0,5.588,1.61,0,9.729,92.059,75,0.9324,0.0676,75.51,6.8203,9.729
20,6,27,202,43.956,39.818,24.442,0,6.477,1.33,0,6.063,78.13,69.2,0.85932,0.14068,65.171,6.8958,6.063
35,6,27,202,49.876,48.676,21.109,0,10.922,2.065,0,6.768,89.54,73.7,0.91602,0.08398,70.702,12.07,6.768
50,6,27,202,57.276,50.568,13.029,0,12.192,1.855,0,9.588,87.232,85.2,1,0,63.597,14.047,9.588
65,6,27,202,61.198,46.526,29.492,0,17.145,1.925,0,8.883,103.97,99,1,0,76.018,19.07,8.883
80,6,27,202,45.658,38.442,16.362,0,6.477,0.84,0,8.037,70.158,61.7,0.76482,0.23518,56.327,5.7937,8.037
100,6,27,202,96.496,42.828,43.127,0,28.448,3.325,0,7.05,124.78,141.6,1,0,85.955,31.773,7.05
125,6,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,6,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,6,27,202,36.704,2.58,49.187,0,18.288,3.535,0,0,73.59,49.6,0.61236,0.38764,58.856,14.734,0
0,7,27.25,202,37.74,34.142,0,0,8.255,0.595,0,4.794,47.786,68.9,0.85554,0.14446,35.335,7.6575,4.794
20,7,27.25,202,34.262,32.852,0,0,7.874,0.63,0,5.076,46.432,62.8,0.77868,0.22132,34.595,6.7613,5.076
35,7,27.25,202,32.782,36.808,3.838,0,7.62,0.77,0,4.089,53.125,60.6,0.75096,0.24904,42.544,6.4923,4.089
50,7,27.25,202,33.966,35.002,8.282,0,10.16,0.875,0,4.371,58.69,65.2,0.80892,0.19108,45.225,9.0936,4.371
65,7,27.25,202,43.364,38.528,7.373,0,13.716,1.365,0,5.076,66.058,86.7,1,0,45.901,15.081,5.076
80,7,27.25,202,37,31.046,10.302,0,16.637,1.435,0,5.922,65.342,81,1,0,41.348,18.072,5.922
100,7,27.25,202,54.39,34.4,13.837,0,22.606,2.135,0,4.371,77.349,103.1,1,0,48.237,24.741,4.371
125,7,27.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,7,27.25,202,106.93,14.878,108.98,0,41.021,6.895,0,2.679,174.45,192.9,1,0,123.86,47.916,2.679
200,7,27.25,202,5.328,2.15,4.444,0,10.668,1.295,0,0,18.557,20.9,0.25074,0.74926,14.587,3.9699,0
0,8,27.5,202,42.476,38.7,12.12,0,5.207,0.91,0,5.781,62.718,70.7,0.87822,0.12178,51.454,5.4829,5.781
20,8,27.5,202,41.144,44.032,15.15,0,6.985,1.015,0,5.781,72.963,75.2,0.93492,0.06508,59.637,7.5454,5.781
35,8,27.5,202,41.662,41.538,13.534,0,12.065,1.54,0,8.46,77.137,83,1,0,55.072,13.605,8.46
50,8,27.5,202,60.088,48.59,23.533,0,18.669,2.345,0,8.178,101.31,129.8,1,0,72.123,21.014,8.178
65,8,27.5,202,68.376,46.87,28.886,0,25.527,3.745,0,6.204,111.23,132.5,1,0,75.756,29.272,6.204
80,8,27.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,8,27.5,202,152.59,36.98,87.163,0,63.246,8.05,2.256,4.089,201.78,256.2,1,0,124.14,71.296,6.345
125,8,27.5,202,105.52,18.232,117.77,0,50.038,8.155,2.256,4.371,200.82,208.5,1,0,136,58.193,6.627
150,8,27.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,8,27.5,202,14.652,1.376,23.129,0,11.43,1.96,0,0,37.895,31.5,0.3843,0.6157,31.542,6.3525,0
0,9,27.75,202,31.376,33.884,0,0,10.668,0.945,0,8.319,53.816,70.8,0.87948,0.12052,35.17,10.327,8.319
20,9,27.75,202,28.638,41.71,6.767,0,10.922,1.12,0,8.883,69.402,71.8,0.89208,0.10792,49.656,10.863,8.883
35,9,27.75,202,28.268,42.484,6.868,0,13.335,1.155,0,5.781,69.623,71.2,0.88452,0.11548,50.892,12.95,5.781
50,9,27.75,202,34.928,39.818,7.07,0,16.891,1.435,0,7.05,72.264,78.3,0.97398,0.02602,47.328,17.886,7.05
65,9,27.75,202,38.406,35.948,8.888,0,19.431,1.47,0,4.512,70.249,88,1,0,44.836,20.901,4.512
80,9,27.75,202,59.94,42.054,16.362,0,29.845,2.38,0,4.653,95.294,116.8,1,0,58.416,32.225,4.653
100,9,27.75,202,109.45,37.496,62.014,0,49.657,6.335,0,4.23,159.73,194.7,1,0,99.51,55.992,4.23
125,9,27.75,202,123.21,23.736,118.98,0,86.36,14.63,0,6.345,250.05,276.2,1,0,142.71,100.99,6.345
150,9,27.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,9,27.75,202,11.692,1.204,13.231,0,13.589,1.365,0,0,29.389,27.5,0.3339,0.6661,23.487,5.9024,0
0,10,28,202,29.97,35.948,8.585,0,8.255,0.7,0,6.486,59.974,71.7,0.89082,0.10918,45.434,8.0537,6.486
20,10,28,202,26.492,30.358,11.312,0,8.763,1.12,0,7.755,59.308,66.4,0.82404,0.17596,43.212,8.3411,7.755
35,10,28,202,25.826,39.646,10.504,0,16.256,1.89,1.974,10.716,80.986,73.6,0.91476,0.08524,51.536,16.76,12.69
50,10,28,202,29.748,42.828,13.13,0,19.939,1.995,0,10.293,88.185,88.3,1,0,55.958,21.934,10.293
65,10,28,202,34.78,41.108,13.332,0,22.352,2.38,4.23,11.139,94.541,90.4,1,0,54.44,24.732,15.369
80,10,28,202,44.77,32.938,19.493,0,30.353,3.045,0,5.358,91.187,108.6,1,0,52.431,33.398,5.358
100,10,28,202,137.71,49.192,141,0,127.89,23.065,3.384,31.02,375.55,344.4,1,0,190.19,150.95,34.404
125,10,28,202,87.69,16.512,132.01,1.92,57.277,10.57,3.243,11.421,232.95,193.7,1,0,148.52,69.767,14.664
150,10,28,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,10,28,202,0,0,0,0,2.032,0,0,0,2.032,0,-9999,-9999,-9999,-9999,0
0,11,28.25,202,29.378,41.194,0,0,12.573,0.42,0,8.601,62.788,73.5,0.9135,0.0865,42.282,11.905,8.601
20,11,28.25,202,30.266,41.452,6.161,0,11.557,1.05,0,7.896,68.116,73,0.9072,0.0928,48.685,11.535,7.896
35,11,28.25,202,23.828,33.884,0,0,12.827,1.12,3.666,6.909,58.406,71.7,0.89082,0.10918,35.284,12.547,10.575
50,11,28.25,202,30.118,39.56,10.504,0,18.288,1.995,0,8.742,79.089,79.7,0.99162,0.00838,50.217,20.13,8.742
65,11,28.25,202,36.63,34.056,10.605,0,16.51,1.785,0,2.679,65.635,82.5,1,0,44.661,18.295,2.679
80,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,11,28.25,202,140.75,38.958,115.85,0,149.48,24.605,0,15.933,344.82,343.8,1,0,154.81,174.08,15.933
125,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
