depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
200,11,28.25,202,0,1.548,0,0,0,0,0,0,1.548,3.9,0.03654,0.96346,1.548,0,0
0,12,28.5,202,24.938,31.132,0,0,7.747,1.015,0,7.05,46.944,60.6,0.75096,0.24904,33.061,6.8327,7.05
20,12,28.5,202,20.202,37.066,15.958,0,12.573,0.77,0,10.998,77.365,68.5,0.8505,0.1495,54.904,11.463,10.998
35,12,28.5,202,20.646,42.054,14.039,0,14.732,1.33,0,13.395,85.55,77.7,0.96642,0.03358,56.588,15.567,13.395
50,12,28.5,202,24.568,38.442,15.049,0,22.606,2.835,0,6.486,85.418,81.7,1,0,53.491,25.441,6.486
65,12,28.5,202,60.828,61.318,38.582,0,32.893,4.865,0,7.896,145.55,131.1,1,0,99.9,37.758,7.896
80,12,28.5,202,69.338,45.58,46.46,0,49.784,5.46,0,8.742,156.03,166.2,1,0,92.04,55.244,8.742
100,12,28.5,202,155.33,55.9,153.52,0,127.89,19.915,6.768,24.675,388.67,350.6,1,0,209.42,147.8,31.443
125,12,28.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,12,28.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,12,28.5,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,13,28.75,202,28.786,31.046,0,0,4.064,0.56,0,3.243,38.913,58.1,0.71946,0.28054,32.186,3.4839,3.243
20,13,28.75,202,31.154,39.13,5.353,0,10.668,0.98,0,7.473,63.604,75,0.9324,0.0676,45.204,10.927,7.473
35,13,28.75,202,34.04,47.73,0,0,11.43,0.84,0,10.998,70.998,77.3,0.96138,0.03862,48.171,11.829,10.998
50,13,28.75,202,29.896,40.248,6.464,0,14.097,1.54,0,8.601,70.95,74.6,0.92736,0.07264,47.736,14.613,8.601
65,13,28.75,202,44.844,44.806,15.554,0,20.447,2.45,0,7.614,90.871,94.7,1,0,60.36,22.897,7.614
80,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,13,28.75,202,149.41,47.73,109.89,0,139.83,19.495,4.935,13.677,335.55,339.6,1,0,157.62,159.32,18.612
125,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,13,28.75,202,1.48,2.064,5.959,0,7.112,0.7,0,0,15.835,11,0.126,0.874,14.239,1.5961,0
0,14,29,202,30.192,32.508,6.464,0,10.922,1.295,1.833,9.87,62.892,70.6,0.87696,0.12304,40.316,10.873,11.703
20,14,29,202,27.972,41.538,8.787,0,12.954,1.54,0,12.126,76.945,72.5,0.9009,0.0991,51.609,13.21,12.126
35,14,29,202,29.452,49.622,8.989,0,14.732,1.645,0,13.536,88.524,77.2,0.96012,0.03988,59.199,15.789,13.536
50,14,29,202,23.68,38.872,8.888,0,15.621,1.4,2.82,12.549,80.15,73.9,0.91854,0.08146,49.032,15.749,15.369
65,14,29,202,30.636,46.268,11.918,0,19.939,2.345,0,11.421,91.891,85.5,1,0,58.186,22.284,11.421
80,14,29,202,40.478,34.916,12.726,0,19.558,2.275,1.974,7.191,78.64,87.1,1,0,47.642,21.833,9.165
100,14,29,202,73.038,44.548,31.512,0,38.227,4.9,0,7.755,126.94,145.7,1,0,76.06,43.127,7.755
125,14,29,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,14,29,202,118.4,24.854,169.88,0,70.866,14.56,2.256,17.766,300.18,255.4,1,0,194.74,85.426,20.022
200,14,29,202,14.578,1.29,24.745,0,16.256,2.24,0,0,44.531,32.8,0.40068,0.59932,35.778,8.7535,0
0,15,29.25,202,23.828,31.304,0,0,12.319,1.26,0,10.011,54.894,68.8,0.85428,0.14572,33.099,11.784,10.011
20,15,29.25,202,24.568,37.926,4.646,0,13.208,1.4,0,8.742,65.922,70,0.8694,0.1306,44.297,12.883,8.742
35,15,29.25,202,25.16,38.27,0,0,10.795,1.155,0,6.909,57.129,61.1,0.75726,0.24274,40.89,9.3296,6.909
50,15,29.25,202,23.976,35.432,5.858,0,9.271,0.84,0,2.961,54.362,63.2,0.78372,0.21628,43.295,8.1059,2.961
65,15,29.25,202,29.008,32.594,7.474,0,20.447,2.24,0,4.935,67.69,78.5,0.9765,0.0235,40.549,22.206,4.935
80,15,29.25,202,70.818,49.106,24.341,0,29.464,3.115,0,4.089,110.12,126,1,0,73.447,32.579,4.089
100,15,29.25,202,179.08,54.696,151.3,0,157.61,26.18,0,11.703,401.48,374.7,1,0,205.99,183.79,11.703
125,15,29.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,15,29.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,15,29.25,202,2.146,0.86,4.444,0,3.429,0,0,0,8.733,7.4,0.08064,0.91936,8.4565,0.27651,0
0,16,29.5,202,12.95,24.854,11.009,0,8.763,0.98,0,15.51,61.116,60.1,0.74466,0.25534,38.101,7.5055,15.51
20,16,29.5,202,15.318,29.756,4.545,0,5.842,0.42,0,6.063,46.626,50.6,0.62496,0.37504,36.492,4.071,6.063
35,16,29.5,202,17.908,41.71,6.06,0,10.287,0.945,0,8.742,67.744,56.5,0.6993,0.3007,50.863,8.1387,8.742
50,16,29.5,202,21.016,44.462,7.777,0,14.351,1.47,1.41,8.46,77.93,64.8,0.80388,0.19612,55.054,13.006,9.87
65,16,29.5,202,29.6,34.572,15.251,0,17.653,1.855,0,5.076,74.407,79.3,0.98658,0.01342,50.06,19.271,5.076
80,16,29.5,202,35.15,46.612,17.372,0,25.527,3.115,0,7.473,100.1,96.7,1,0,63.984,28.642,7.473
100,16,29.5,202,93.388,54.008,55.55,0,55.118,7.035,0,10.716,182.43,196.3,1,0,109.56,62.153,10.716
125,16,29.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,16,29.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,16,29.5,202,5.994,0,9.393,0,9.144,0.63,0,0,19.167,9.2,0.10332,0.89668,17.592,1.5748,0
0,17,29.75,202,15.984,24.768,0,0,9.652,0.735,0,7.332,42.487,57.5,0.7119,0.2881,27.549,7.6063,7.332
20,17,29.75,202,19.906,35.776,0,0,6.858,0,0,6.345,48.979,50.8,0.62748,0.37252,38.331,4.3033,6.345
35,17,29.75,202,14.282,29.24,0,0,8.763,1.295,0,4.23,43.528,43.5,0.5355,0.4645,33.31,5.9876,4.23
50,17,29.75,202,23.902,37.41,0,0,11.684,0.84,0,3.102,53.036,54.7,0.67662,0.32338,41.188,8.7456,3.102
65,17,29.75,202,36.778,41.624,12.726,0,17.907,1.47,0,3.243,76.97,77.6,0.96516,0.03484,54.974,18.753,3.243
80,17,29.75,202,51.504,40.936,19.089,0,23.241,1.75,0,4.371,89.387,104,1,0,60.025,24.991,4.371
100,17,29.75,202,129.28,47.472,56.56,0,47.752,5.075,0,3.384,160.24,205.2,1,0,104.03,52.827,3.384
125,17,29.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,17,29.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,17,29.75,202,0,0,0,0,2.921,0,0,0,2.921,5.5,0.0567,0.9433,2.7554,0.16562,0
0,18,30,202,23.458,19.866,9.09,0,9.652,1.05,0,9.729,49.387,64.7,0.80262,0.19738,30.861,8.7969,9.729
20,18,30,202,29.23,23.478,10.504,0,7.62,0.77,0,12.972,55.344,69.6,0.86436,0.13564,35.016,7.3564,12.972
35,18,30,202,28.194,37.066,14.847,0,11.43,1.155,0,20.304,84.802,80.6,0.99816,0.00184,51.934,12.564,20.304
50,18,30,202,29.082,36.808,10.504,0,13.081,1.4,0,9.165,70.958,71.4,0.88704,0.11296,48.79,13.003,9.165
65,18,30,202,28.638,25.198,12.827,0,17.526,1.68,0,4.794,62.025,74,0.9198,0.0802,39.431,17.8,4.794
80,18,30,202,42.18,21.5,22.927,0,21.209,1.89,0,1.974,69.5,89.9,1,0,44.427,23.099,1.974
100,18,30,202,62.826,14.534,71.205,0,98.806,16.625,3.525,14.664,219.36,236.7,1,0,85.739,115.43,18.189
125,18,30,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,18,30,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,18,30,202,7.622,0,6.969,0,4.445,0.595,0,0,12.009,10.3,0.11718,0.88282,10.893,1.1159,0
0,19,30.25,202,26.862,22.962,0,0,11.303,0.77,0,7.473,42.508,66.6,0.82656,0.17344,24.922,10.113,7.473
20,19,30.25,202,28.712,28.036,7.474,0,8.001,0.42,0,10.434,54.365,70.1,0.87066,0.12934,36.545,7.3862,10.434
35,19,30.25,202,21.83,23.822,6.767,0,11.303,1.085,0,8.037,51.014,60.9,0.75474,0.24526,33.361,9.6158,8.037
50,19,30.25,202,20.72,23.306,5.656,0,9.779,0.63,0,2.256,41.627,55.8,0.69048,0.30952,31.989,7.3822,2.256
65,19,30.25,202,26.64,34.572,0,0,19.177,1.295,0,1.833,56.877,71.7,0.89082,0.10918,36.666,18.378,1.833
80,19,30.25,202,34.706,30.1,8.585,0,19.939,1.925,0,3.666,64.215,72.2,0.89712,0.10288,40.736,19.813,3.666
100,19,30.25,202,81.622,28.552,62.115,0,91.059,16.45,3.807,12.69,214.67,244.4,1,0,90.667,107.51,16.497
125,19,30.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,19,30.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,19,30.25,202,2.368,0,0,0,7.239,0,0,0,7.239,15.6,0.18396,0.81604,5.9073,1.3317,0
0,20,30.5,202,12.358,12.212,0,0,5.969,0.28,0,2.115,20.576,39.5,0.4851,0.5149,15.285,3.1756,2.115
20,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,20,30.5,202,8.88,19.264,0,0,5.461,0.525,0,4.371,29.621,41.1,0.50526,0.49474,21.966,3.2842,4.371
50,20,30.5,202,13.246,23.564,7.07,0,8.89,0.525,0,2.115,42.164,43.6,0.53676,0.46324,34.752,5.2968,2.115
65,20,30.5,202,15.392,22.016,11.817,0,11.303,0.735,3.243,3.243,52.357,56,0.693,0.307,37.303,8.568,6.486
80,20,30.5,202,31.006,25.542,17.675,0,13.335,0.735,0,0,57.287,69.4,0.86184,0.13816,45.059,12.228,0
100,20,30.5,202,68.154,23.048,57.772,0,74.041,9.66,3.807,12.69,181.02,207.8,1,0,80.82,83.701,16.497
125,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,20,30.5,202,0,0,0,0,3.556,0,0,0,3.556,0,-9999,-9999,-9999,-9999,0
0,21,30.75,202,18.5,15.136,0,0,6.731,0,0,2.256,24.123,48.9,0.60354,0.39646,17.805,4.0624,2.256
20,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,21,30.75,202,23.68,19.608,0,0,6.477,0,0,9.024,35.109,59.8,0.74088,0.25912,21.286,4.7987,9.024
50,21,30.75,202,20.942,21.242,0,0,5.842,0,0,0,27.084,50.2,0.61992,0.38008,23.462,3.6216,0
65,21,30.75,202,27.454,20.124,5.858,0,13.335,0.84,0,3.948,44.105,58.6,0.72576,0.27424,29.639,10.518,3.948
80,21,30.75,202,47.064,21.156,14.14,0,15.494,0.77,0,0,51.56,91.9,1,0,35.296,16.264,0
100,21,30.75,202,61.198,17.286,42.521,0,65.024,7.98,0,5.076,137.89,175.9,1,0,59.807,73.004,5.076
125,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,21,30.75,202,21.016,2.494,33.936,0,21.209,2.135,0,0,59.774,59,0.7308,0.2692,42.139,17.635,0
200,21,30.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,22,31,202,28.564,16.942,5.858,0,4.953,0,0,3.102,30.855,51.7,0.63882,0.36118,24.589,3.1641,3.102
20,22,31,202,26.64,21.242,10.403,0,4.699,0,0,4.653,40.997,46.8,0.57708,0.42292,33.632,2.7117,4.653
35,22,31,202,26.862,25.026,15.655,0,6.731,0.77,0,5.922,54.104,53.7,0.66402,0.33598,42.942,5.2395,5.922
50,22,31,202,24.79,26.23,8.181,0,8.636,0.84,0,2.397,46.284,48.6,0.59976,0.40024,37.867,6.0195,2.397
65,22,31,202,32.116,19.694,9.696,0,9.779,0.735,2.82,0,42.724,58.8,0.72828,0.27172,32.047,7.8569,2.82
80,22,31,202,33.3,16.598,19.291,0,0,3.255,0,0,39.144,68.6,0.85176,0.14824,35.889,3.255,0
100,22,31,202,62.9,19.35,23.331,0,21.717,1.54,0,2.961,68.899,106.3,1,0,42.681,23.257,2.961
125,22,31,202,89.318,15.738,89.385,0,85.725,13.09,4.794,12.126,220.86,245.9,1,0,105.12,98.815,16.92
