depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
0,2,26,202,0,0.9,0,2.7,4.6,3.7,-9999,0,3.5,0,0,0,39.9,10,2.2,1.6,50.1,15.9,66.1
20,2,26,202,0,1.1,0,2.6,4.3,4.8,-9999,0,3,0,0,0,53.7,11,3.8,2.6,52,20.6,72.6
35,2,26,202,0,1.7,2.6,3.9,5.2,10,-9999,0,4.6,0,0,0,52.1,11.7,4.5,2.2,50.7,29.3,80
50,2,26,202,0,1.2,2,4.1,4.7,10,-9999,0,2.8,0,0,0,46.6,13.3,4.4,2.2,51.8,29,80.8
65,2,26,202,0,3.8,2.6,6.9,5.1,15,-9999,0,3.6,0,0,0,49.2,18.4,6.2,1.8,68.8,30.1,98.9
80,2,26,202,0,14.1,2.3,17.2,4.4,47.6,-9999,0,4.1,0,0,0,41.3,65.4,15.7,2.5,143.4,64.5,207.9
100,2,26,202,0,36,1.6,51.3,8.6,94.4,-9999,0,6.6,0,0,0,36.5,148.7,30.2,3.1,190.5,142.9,333.4
125,2,26,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,2,26,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,2,26,202,0,0,0,0.9,0,3.7,-9999,0,0,0,0,0,0,9.8,0.5,0,8.7,0,8.7
0,3,26.25,202,0,0,0,2.9,6.1,5.4,-9999,0,4,0,0,0,49.4,0,3.2,2.3,50.3,17.3,67.7
20,3,26.25,202,0,1.7,0,3.7,5,7.6,-9999,0,4.9,0,0,0,63.4,6.9,4.7,2.8,55.5,25.8,81.3
35,3,26.25,202,0,1.8,0,4.4,6.2,9.7,-9999,0,4,0,0,0,75.2,7.1,5.7,2.7,56,23.5,79.5
50,3,26.25,202,0,5.1,0,6.6,7.6,14.7,-9999,0,3.2,0,0,0,70.5,7.7,6.3,2.6,69.2,36.8,106
65,3,26.25,202,0,4.4,0,6.9,5.7,15.3,-9999,0,3.3,0,0,0,43.4,12.4,4.6,1.9,57.2,43.2,100.5
80,3,26.25,202,0,7.9,0,7.3,2.7,19.4,-9999,0,1.8,0,0,0,35.1,26.7,9,1.8,113.5,20.7,134.2
100,3,26.25,202,0,24.7,2.9,47.3,5.3,72.6,-9999,0,3.6,0,0,0,63.9,172.3,35.4,4.4,302.9,44.8,347.7
125,3,26.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,3,26.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,3,26.25,202,0,0,0,3,0,7.9,-9999,0,0,0,0,0,1.4,5,1,0,6.2,15.1,21.3
0,4,26.5,202,0,0,0,2.9,4.7,6.4,-9999,0,3.3,0,0,0,39.3,0,3.5,2.3,40.4,13,53.3
20,4,26.5,202,0,0,0,4,5.2,4.8,-9999,0,0,0,0,0,40.7,0,4.2,1.5,35.1,14.3,49.4
35,4,26.5,202,0,0,0,3.6,5.4,9,-9999,0,0,0,0,0,50.2,0,4.2,1.7,38,27.5,65.5
50,4,26.5,202,0,22.9,0,19.7,8.2,39.2,-9999,0,3.4,0,0,0,45.7,39.5,10.1,2.5,87,82.3,169.3
65,4,26.5,202,0,24.3,0,15.5,6.7,53.5,-9999,0,3.9,0,0,0,51.8,36.2,13.9,2.7,108.6,79,187.7
80,4,26.5,202,0,9.7,0,6.8,4.1,26.2,-9999,0,0,0,0,0,50.4,32.7,12.8,1.8,119.8,23.1,142.9
100,4,26.5,202,0,37.2,0,30.8,9.4,55.4,-9999,0,3.7,0,0,0,33,94,21,2.8,154.1,89.1,243.2
125,4,26.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,4,26.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,4,26.5,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,5,26.75,202,0,0,0,2.7,5.3,5.5,-9999,0,3,0,0,0,43.2,0,3,1.8,41.3,21.3,62.6
20,5,26.75,202,0,0,0,2.9,4.6,6,-9999,0,2.8,0,0,0,45,4.8,3.3,1.6,37.3,18.1,55.5
35,5,26.75,202,0,0,0,2.9,5.2,7.7,-9999,0,3.8,0,0,0,50.4,7.3,4.1,2,39.2,26.1,65.3
50,5,26.75,202,0,3.4,1.9,4.6,6.2,10,-9999,0,3.7,0,0,0,56.5,8.9,5.1,1.8,58.3,25.7,84.1
65,5,26.75,202,0,1.6,0,5.4,5.1,11.4,-9999,0,3.1,0,0,0,53,9.2,5.3,1.4,61.7,26.4,88.1
80,5,26.75,202,0,5.3,0,5.1,4.6,12.4,-9999,0,2,0,0,0,57.2,13.8,6.5,2.1,65.5,28.6,94
100,5,26.75,202,0,7.7,0,10.6,7.5,23.3,-9999,0,3,0,0,0,52.8,19.3,10.2,3,111.8,32,143.8
125,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,5,26.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,6,27,202,0,0,0,4.6,6.9,4.4,-9999,0,5,0,0,0,52.6,29.6,2.7,1.5,67.8,7.2,75
20,6,27,202,0,0,0,3.8,4.3,5.1,-9999,0,2.2,0,0,0,46.3,24.2,3.2,1.6,59.4,9.8,69.2
35,6,27,202,0,0,0,5.9,4.8,8.6,-9999,0,3.6,0,0,0,56.6,20.9,5.3,3.4,67.4,6.3,73.7
50,6,27,202,0,0,0,5.3,6.8,9.6,-9999,0,4.2,0,0,0,58.8,12.9,4.7,1.5,77.4,7.9,85.2
65,6,27,202,0,0,0,5.5,6.3,13.5,-9999,0,5.1,0,0,0,54.1,29.2,6,1.4,82.7,16.3,99
80,6,27,202,0,0,0,2.4,5.7,5.1,-9999,0,2.6,0,0,0,44.7,16.2,2.5,1.6,61.7,0,61.7
100,6,27,202,0,8.7,0,9.5,5,22.4,-9999,0,3.6,0,0,0,49.8,42.7,8.7,1.3,130.4,11.2,141.6
125,6,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,6,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,6,27,202,0,0,0,10.1,0,14.4,-9999,0,0,0,0,0,3,48.7,4.2,0.7,49.6,0,49.6
0,7,27.25,202,0,0,0,1.7,3.4,6.5,-9999,0,2.7,0,0,0,39.7,0,3.7,1.8,51,17.9,68.9
20,7,27.25,202,0,0,0,1.8,3.6,6.2,-9999,0,2.1,0,0,0,38.2,0,3.8,2.2,46.3,16.5,62.8
35,7,27.25,202,0,0,0,2.2,2.9,6,-9999,0,1.2,0,0,0,42.8,3.8,3.7,1.1,44.3,16.3,60.6
50,7,27.25,202,0,0,0,2.5,3.1,8,-9999,0,2.1,0,0,0,40.7,8.2,3.8,1.5,45.9,19.4,65.2
65,7,27.25,202,0,0,0,3.9,3.6,10.8,-9999,0,2.2,0,0,0,44.8,7.3,5.3,1.5,58.6,28.2,86.7
80,7,27.25,202,0,2.3,0,4.1,4.2,13.1,-9999,0,2.3,0,0,0,36.1,10.2,4.9,2,50,31,81
100,7,27.25,202,0,0,0,6.1,3.1,17.8,-9999,0,2,0,0,0,40,13.7,5.9,1,73.5,29.6,103.1
125,7,27.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
