depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
150,7,27.25,202,0,17.2,0,19.7,1.9,32.3,-9999,0,2.5,0,0,0,17.3,107.9,17.6,2.3,144.5,48.4,192.9
200,7,27.25,202,0,0,0,3.7,0,8.4,-9999,0,0,0,0,0,2.5,4.4,1,0,7.2,13.6,20.9
0,8,27.5,202,0,0,0,2.6,4.1,4.1,-9999,0,2.7,0,0,0,45,12,3.5,1.6,57.4,13.3,70.7
20,8,27.5,202,0,0,0,2.9,4.1,5.5,-9999,0,2.6,0,0,0,51.2,15,5.3,2.3,55.6,19.5,75.2
35,8,27.5,202,0,0,0,4.4,6,9.5,-9999,0,4.1,0,0,0,48.3,13.4,5.2,2.2,56.3,26.7,83
50,8,27.5,202,0,5.9,0,6.7,5.8,14.7,-9999,0,6.2,0,0,0,56.5,23.3,7.2,3.1,81.2,48.6,129.8
65,8,27.5,202,0,7.3,0,10.7,4.4,20.1,-9999,0,4.7,0,0,0,54.5,28.6,10.5,2.6,92.4,40.1,132.5
80,8,27.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,8,27.5,202,0,16,1.6,23,2.9,49.8,-9999,0,4.4,0,0,0,43,86.3,23.3,2.7,206.2,50.1,256.2
125,8,27.5,202,0,11.8,1.6,23.3,3.1,39.4,-9999,0,3.2,0,0,0,21.2,116.6,25.4,0,142.6,65.9,208.5
150,8,27.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,8,27.5,202,0,0,0,5.6,0,9,-9999,0,0,0,0,0,1.6,22.9,4.2,0,19.8,11.8,31.5
0,9,27.75,202,0,0,0,2.7,5.9,8.4,-9999,0,4.8,0,0,0,39.4,0,2.8,2.1,42.4,28.5,70.8
20,9,27.75,202,0,0,0,3.2,6.3,8.6,-9999,0,5.3,0,0,0,48.5,6.7,3.5,2.6,38.7,33.1,71.8
35,9,27.75,202,0,0,0,3.3,4.1,10.5,-9999,0,3.2,0,0,0,49.4,6.8,3.1,1.9,38.2,33.1,71.2
50,9,27.75,202,0,1.5,0,4.1,5,13.3,-9999,0,2.8,0,0,0,46.3,7,4.3,1.4,47.2,31.1,78.3
65,9,27.75,202,0,0,0,4.2,3.2,15.3,-9999,0,2.2,0,0,0,41.8,8.8,4.8,1.7,51.9,36.1,88
80,9,27.75,202,0,3.8,0,6.8,3.3,23.5,-9999,0,3.3,0,0,0,48.9,16.2,7.5,2.3,81,35.9,116.8
100,9,27.75,202,0,11.2,0,18.1,3,39.1,-9999,0,4,0,0,0,43.6,61.4,13.9,1.6,147.9,46.8,194.7
125,9,27.75,202,0,25,0,41.8,4.5,68,-9999,0,3.8,0,0,0,27.6,117.8,18.8,1.3,166.5,109.7,276.2
150,9,27.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,9,27.75,202,0,0,0,3.9,0,10.7,-9999,0,0,0,0,0,1.4,13.1,2.6,0.7,15.8,11.7,27.5
0,10,28,202,0,1.1,0,2,4.6,6.5,-9999,0,3,0,0,0,41.8,8.5,3.5,2.1,40.5,31.2,71.7
20,10,28,202,0,4.7,0,3.2,5.5,6.9,-9999,0,3.6,0,0,0,35.3,11.2,3.2,2.2,35.8,30.5,66.4
35,10,28,202,0,5.4,1.4,5.4,7.6,12.8,-9999,0,6.6,0,1.3,0,46.1,10.4,4,2.5,34.9,38.7,73.6
50,10,28,202,0,9.2,0,5.7,7.3,15.7,-9999,0,5.1,0,0,0,49.8,13,4.6,2.7,40.2,48.1,88.3
65,10,28,202,0,8.3,3,6.8,7.9,17.6,-9999,0,3.4,0,0,0,47.8,13.2,5.6,2.3,47,43.5,90.4
80,10,28,202,0,9.7,0,8.7,3.8,23.9,-9999,0,2.5,0,0,0,38.3,19.3,6.8,2.4,60.5,48.1,108.6
100,10,28,202,0,44.3,2.4,65.9,22,100.7,-9999,0,5.7,0,0,1.4,57.2,139.6,27.4,3.5,186.1,158.3,344.4
125,10,28,202,0,18.7,2.3,30.2,8.1,45.1,-9999,0,2.6,3.2,0.7,0,19.2,130.7,26.2,1.8,118.5,75.3,193.7
150,10,28,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,10,28,202,0,0,0,0,0,1.6,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,11,28.25,202,0,0,0,1.2,6.1,9.9,-9999,0,6.8,0,6.5,0,47.9,0,3,3,39.7,33.8,73.5
20,11,28.25,202,0,0,0,3,5.6,9.1,-9999,0,7.1,0,2.7,0,48.2,6.1,2.9,2,40.9,32.1,73
35,11,28.25,202,0,0,2.6,3.2,4.9,10.1,-9999,0,6.1,0,0,0,39.4,0,2.6,2.1,32.2,39.4,71.7
50,11,28.25,202,0,4,0,5.7,6.2,14.4,-9999,0,5,0,0,0,46,10.4,4.3,2.4,40.7,39,79.7
65,11,28.25,202,0,0,0,5.1,1.9,13,-9999,0,2.4,0,0,0,39.6,10.5,3.7,1.2,49.5,33,82.5
80,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,11,28.25,202,0,45.5,0,70.3,11.3,117.7,-9999,0,7.9,0,0,0,45.3,114.7,22.3,2.8,190.2,153.5,343.8
125,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,11,28.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,11,28.25,202,0,0,0,0,0,0,-9999,0,0,0,0,0,1.8,0,0,0,0,3.9,3.9
0,12,28.5,202,0,1.3,0,2.9,5,6.1,-9999,0,3.5,0,3.7,0,36.2,0,1.9,1.9,33.7,26.9,60.6
20,12,28.5,202,0,3.4,0,2.2,7.8,9.9,-9999,0,7.4,0,3.3,0,43.1,15.8,3.6,3,27.3,41.2,68.5
35,12,28.5,202,0,4.3,0,3.8,9.5,11.6,-9999,0,8.1,0,2.3,0,48.9,13.9,3.5,2.5,27.9,49.8,77.7
50,12,28.5,202,0,6.5,0,8.1,4.6,17.8,-9999,0,4.5,0,0,0,44.7,14.9,4.2,2.3,33.2,48.5,81.7
65,12,28.5,202,0,12.8,0,13.9,5.6,25.9,-9999,0,2.6,0,0,2.7,71.3,38.2,9.7,1.9,82.2,49,131.1
80,12,28.5,202,0,27.3,0,15.6,6.2,39.2,-9999,0,4.6,0,0,0,53,46,11.2,2.1,93.7,72.5,166.2
100,12,28.5,202,0,63.3,4.8,56.9,17.5,100.7,-9999,0,5.6,0,0,0,65,152,30.3,3,209.9,140.6,350.6
125,12,28.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,12,28.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,12,28.5,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0
0,13,28.75,202,0,0,0,1.6,2.3,3.2,-9999,0,1.7,0,0,0,36.1,0,1.9,1.2,38.9,19.2,58.1
20,13,28.75,202,0,0,0,2.8,5.3,8.4,-9999,0,5.7,0,2.5,0,45.5,5.3,3,2.8,42.1,32.9,75
35,13,28.75,202,0,1.6,0,2.4,7.8,9,-9999,0,4.1,0,0,0,55.5,0,3.7,2.7,46,31.3,77.3
50,13,28.75,202,0,1.9,0,4.4,6.1,11.1,-9999,0,3.3,0,0,0,46.8,6.4,3.9,2.2,40.4,34.2,74.6
65,13,28.75,202,0,2.7,0,7,5.4,16.1,-9999,0,4.2,0,0,0,52.1,15.4,4.9,1.9,60.6,34.1,94.7
80,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,13,28.75,202,0,35.1,3.5,55.7,9.7,110.1,-9999,0,6.5,0,0,0,55.5,108.8,22.2,4.2,201.9,137.7,339.6
125,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,13,28.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,13,28.75,202,0,0,0,2,0,5.6,-9999,0,0,0,0,0,2.4,5.9,0,0,2,9.1,11
0,14,29,202,0,1.3,1.3,3.7,7,8.6,-9999,0,6.8,0,0,0,37.8,6.4,2.7,3.3,40.8,29.8,70.6
20,14,29,202,0,2.9,0,4.4,8.6,10.2,-9999,0,5.9,0,0,0,48.3,8.7,3.3,3.1,37.8,34.7,72.5
35,14,29,202,0,6.6,0,4.7,9.6,11.6,-9999,0,6.7,0,0,0,57.7,8.9,4.8,3.1,39.8,37.4,77.2
50,14,29,202,0,3.1,2,4,8.9,12.3,-9999,0,4.7,0,0,0,45.2,8.8,3.4,2.5,32,41.9,73.9
65,14,29,202,0,6.2,0,6.7,8.1,15.7,-9999,0,4.3,0,0,0,53.8,11.8,4.4,2.1,41.4,44.2,85.5
80,14,29,202,0,6.4,1.4,6.5,5.1,15.4,-9999,0,2,0,0,0,40.6,12.6,4.5,2.2,54.7,32.3,87.1
100,14,29,202,0,12.9,0,14,5.5,30.1,-9999,0,3.5,0,0,0,51.8,31.2,10.8,2.3,98.7,47,145.7
125,14,29,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,14,29,202,0,30.7,1.6,41.6,12.6,55.8,-9999,0,4.5,0,0,0,28.9,168.2,29.8,2.1,160,95.4,255.4
200,14,29,202,0,1.6,0,6.4,0,12.8,-9999,0,0,0,0,0,1.5,24.5,2.5,0,19.7,13.1,32.8
0,15,29.25,202,0,1.1,0,3.6,7.1,9.7,-9999,0,6.6,0,0,0,36.4,0,1.9,2,32.2,36.6,68.8
20,15,29.25,202,0,0.5,0,4,6.2,10.4,-9999,0,7.6,0,0,0,44.1,4.6,2.8,2.2,33.2,36.7,70
35,15,29.25,202,0,2,0,3.3,4.9,8.5,-9999,0,4,0,0,0,44.5,0,2.4,1.3,34,27.1,61.1
50,15,29.25,202,0,1.5,0,2.4,2.1,7.3,-9999,0,1.6,0,0,0,41.2,5.8,3.4,0.7,32.4,30.8,63.2
65,15,29.25,202,0,1.1,0,6.4,3.5,16.1,-9999,0,2.8,0,0,0,37.9,7.4,3.2,1.3,39.2,39.3,78.5
80,15,29.25,202,0,9.5,0,8.9,2.9,23.2,-9999,0,2.6,0,0,0,57.1,24.1,9.2,1.6,95.7,30.2,126
100,15,29.25,202,0,48.8,0,74.8,8.3,124.1,-9999,0,6.3,0,0,0,63.6,149.8,27,2.8,242,132.7,374.7
125,15,29.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,15,29.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,15,29.25,202,0,1.2,0,0,0,2.7,-9999,0,0,0,0,0,1,4.4,0.6,0,2.9,4.5,7.4
0,16,29.5,202,0,3.5,0,2.8,11,6.9,-9999,0,7.1,0,0,0,28.9,10.9,2,2.5,17.5,42.6,60.1
20,16,29.5,202,0,3.2,0,1.2,4.3,4.6,-9999,0,1.7,0,0,0,34.6,4.5,2.3,1.7,20.7,29.9,50.6
35,16,29.5,202,0,0.8,0,2.7,6.2,8.1,-9999,0,5,0,0,0,48.5,6,3.4,1.8,24.2,32.3,56.5
50,16,29.5,202,0,2.8,1,4.2,6,11.3,-9999,0,3.7,0,0,0,51.7,7.7,4.9,2.7,28.4,36.5,64.8
65,16,29.5,202,0,4.3,0,5.3,3.6,13.9,-9999,0,1.5,0,0,0,40.2,15.1,4.7,1.3,40,39.3,79.3
80,16,29.5,202,0,9.4,0,8.9,5.3,20.1,-9999,0,2.9,0,0,0,54.2,17.2,6.7,2,47.5,49.2,96.7
100,16,29.5,202,0,20.1,0,20.1,7.6,43.4,-9999,0,4,0,0,2.4,62.8,55,15.5,2.4,126.2,70.1,196.3
125,16,29.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,16,29.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,16,29.5,202,0,0,0,1.8,0,7.2,-9999,0,0,0,0,0,0,9.3,0.7,0,8.1,1.2,9.2
0,17,29.75,202,0,0,0,2.1,5.2,7.6,-9999,0,3.9,0,0,0,28.8,0,1.7,1.6,21.6,35.9,57.5
20,17,29.75,202,0,0,0,0,4.5,5.4,-9999,0,0,0,0,0,41.6,0,0,0,26.9,24,50.8
35,17,29.75,202,0,0,0,3.7,3,6.9,-9999,0,1.4,0,0,0,34,0,2,1.1,19.3,24.2,43.5
50,17,29.75,202,0,0,0,2.4,2.2,9.2,-9999,0,1.7,0,0,0,43.5,0,2.4,1.4,32.3,22.4,54.7
65,17,29.75,202,0,0,0,4.2,2.3,14.1,-9999,0,2,0,0,0,48.4,12.6,5,1.4,49.7,28,77.6
80,17,29.75,202,0,0,0,5,3.1,18.3,-9999,0,2.3,0,0,0,47.6,18.9,6.9,1.5,69.6,34.5,104
100,17,29.75,202,0,12.2,0,14.5,2.4,37.6,-9999,0,5.1,0,0,0,55.2,56,17.4,1.8,174.7,30.5,205.2
125,17,29.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,17,29.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,17,29.75,202,0,0,0,0,0,2.3,-9999,0,0,0,0,0,0,0,0,0,0,5.5,5.5
0,18,30,202,0,2.8,0,3,6.9,7.6,-9999,0,4.2,0,0,0,23.1,9,2,2,31.7,33,64.7
20,18,30,202,0,2.4,0,2.2,9.2,6,-9999,0,3.8,0,0,0,27.3,10.4,2.1,1.9,39.5,30.1,69.6
35,18,30,202,0,3.7,0,3.3,14.4,9,-9999,0,8.7,0,0,0,43.1,14.7,3.5,2.7,38.1,42.6,80.6
50,18,30,202,0,1.1,0,4,6.5,10.3,-9999,0,4.8,0,0,0,42.8,10.4,3,1.6,39.3,32.1,71.4
65,18,30,202,0,2.7,0,4.8,3.4,13.8,-9999,0,2,0,0,0,29.3,12.7,4,1.9,38.7,35.3,74
80,18,30,202,0,2.7,0,5.4,1.4,16.7,-9999,0,2.2,0,0,0,25,22.7,1.2,0,57,32.9,89.9
100,18,30,202,0,30.4,2.5,47.5,10.4,77.8,-9999,0,5.6,0,0,0,16.9,70.5,10.2,2.1,84.9,151.8,236.7
125,18,30,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,18,30,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,18,30,202,0,0,0,1.7,0,3.5,-9999,0,0,0,0,0,0,6.9,0,0,10.3,0,10.3
0,19,30.25,202,0,0,0,2.2,5.3,8.9,-9999,0,3.1,0,0,0,26.7,0,1.6,1.3,36.3,30.3,66.6
20,19,30.25,202,0,0,0,1.2,7.4,6.3,-9999,0,2,0,0,0,32.6,7.4,2.4,1.7,38.8,31.2,70.1
35,19,30.25,202,0,0,0,3.1,5.7,8.9,-9999,0,1.6,0,0,0,27.7,6.7,1.4,0.7,29.5,31.5,60.9
50,19,30.25,202,0,0,0,1.8,1.6,7.7,-9999,0,1.2,0,0,0,27.1,5.6,1.8,0.5,28,27.8,55.8
65,19,30.25,202,0,2.1,0,3.7,1.3,15.1,-9999,0,2.3,0,0,0,40.2,0,2.9,1.4,36,35.7,71.7
80,19,30.25,202,0,3,0,5.5,2.6,15.7,-9999,0,2.1,0,0,0,35,8.5,3.4,1.3,46.9,25.3,72.2
100,19,30.25,202,0,34.1,2.7,47,9,71.7,-9999,0,4.9,0,0,0,33.2,61.5,11,1.3,110.3,134.2,244.4
125,19,30.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,19,30.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,19,30.25,202,0,0,0,0,0,5.7,-9999,0,0,0,0,0,0,0,0,0,3.2,12.4,15.6
0,20,30.5,202,0,0,0,0.8,1.5,4.7,-9999,0,1.2,0,0,0,14.2,0,1.3,0.8,16.7,22.7,39.5
20,20,30.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,20,30.5,202,0,0,0,1.5,3.1,4.3,-9999,0,0,0,0,0,22.4,0,1.3,1.1,12,29.1,41.1
50,20,30.5,202,0,0,0,1.5,1.5,7,-9999,0,0,0,0,0,27.4,7,2,1.1,17.9,25.7,43.6
65,20,30.5,202,0,5.6,2.3,2.1,2.3,8.9,-9999,0,1.3,0,0,0,25.6,11.7,2.1,1,20.8,35.3,56
