depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
100,13,30,202,0,14.7,0,27.2,9.9,56.3,0,0,6.4,0,1.7,0,54.2,40.8,13.7,2.7,112.3,170.3,282.6
125,13,30,202,0,0,0,11.1,2.6,19,0,0,1.6,0,0,0,6.1,27.7,5.1,1.1,21.1,67.1,88.2
175,13,30,202,0,0,0,2.4,0,8.8,0,0,0,0,0,0,0,0,1.4,0,1.1,22.9,24
0,15,30.5,202,0,6.8,0,14.2,6.1,28.4,0,0,3.8,0,0.6,0,66.3,28.8,11.1,2.3,91.5,109.9,201.4
20,15,30.5,202,0,6.5,0,13.6,5.7,26.6,0,0,2.8,0,0,0,39.2,27.2,9.3,1.9,80,132,212.1
35,15,30.5,202,0,16.7,0,26.9,11.7,51.7,0,0,4.7,0,0,0,54,35.5,12,2.4,96.2,184.9,281.1
50,15,30.5,202,0,18.1,0,33.9,13.3,62,0,0,5.3,0,1.9,0,61.1,34.3,13,2.9,94.9,191.2,286.1
65,15,30.5,202,0,28.7,1.6,39,14.2,72.4,0,0,5.4,0,1.7,0,52.7,46.7,13.5,2.8,101.6,208.1,309.6
80,15,30.5,202,0,18.2,0,29.3,10.1,56.5,0,0,4.1,0,1.5,0,28.3,39.4,10.4,2,84.8,176.2,261
100,15,30.5,202,0,20.7,0,27.9,10.6,54.1,0,0,4.1,0,1.3,0,32,43.8,11.6,2.3,84.9,185.4,270.3
125,15,30.5,202,0,0,0,17.7,6.7,32.6,0,0,2.8,0,1.1,0,20.9,29,8,1.6,71.4,131.4,202.9
175,15,30.5,202,0,0,0,3.7,0,10.6,0,0,0,0,0,0,0,15,1.3,0,2,30.3,32.4
0,17,31,202,0,0,0,7.5,3.5,15,0,0,1.5,0,0,0,34.6,16.5,6.9,1.3,66.1,71.8,137.9
20,17,31,202,0,0,0,10,4.1,20.9,0,0,2,0,0,0,41.4,20.8,7.9,1.1,79.6,83.7,163.3
35,17,31,202,0,0,0,12.5,5,25.6,0,0,1.7,0,0,0,43.7,19.3,7.5,1.3,63.4,92.9,156.3
50,17,31,202,0,0,0,13.2,5.9,27.5,0,0,3.4,0,0,0,48.1,23.7,9,1.8,71.2,99,170.2
65,17,31,202,0,0,0,17.3,6.7,35.1,0,0,2.8,0,0,0,50.7,26.4,10.3,1.9,84.7,107.8,192.5
80,17,31,202,0,6.5,0,16,6.2,32.4,0,0,3.4,0,0,0,40.8,26.9,9.3,2,83.7,106.9,190.7
100,17,31,202,0,0,0,12.2,4.8,24.7,0,0,1.8,0,0,0,26.6,24.3,7.8,1,73.2,111.3,184.5
125,17,31,202,0,0,0,14.9,5.6,25.7,0,0,2,0,0,0,12.1,33.9,7.1,0.9,46.6,90.5,137.1
175,17,31,202,0,0,0,5.7,1.3,16.9,0,0,0,0,0,0,1.4,25.5,5.1,0.4,8.9,39.1,47.9
0,19,31.5,202,0,0,0,4.7,2.8,12.1,0,0,1.2,0,0,0,42,11,4.9,1.5,39,51.2,90.2
20,19,31.5,202,0,0,0,5.1,2.8,12.4,0,0,1.7,0,0,0,45.1,11.2,5.4,1.3,38.5,57.2,95.7
35,19,31.5,202,0,0,0,5.7,2.8,13.5,0,0,1.9,0,0,0,44.4,9,4.8,1.6,37.4,61.9,99.3
50,19,31.5,202,0,0,0,5.8,2.7,14.2,0,0,1.3,0,0,0,39.5,8.8,4.8,1,43.6,62.2,105.8
65,19,31.5,202,0,8.5,1.4,16.1,4.8,37,0,0,1.6,0,0,0,42.8,29.7,11.2,1.7,84.8,121.4,206.3
80,19,31.5,202,0,12.9,1.5,21.4,7.3,52.9,0,0,3.7,0,0,0,35.7,32.2,12.1,1.9,99.1,152.4,251.5
100,19,31.5,202,0,19.4,1.6,28.1,11.1,69.6,0,0,3.4,0,1.8,0,21.4,40.5,9.8,1.7,66.8,168.9,235.7
125,19,31.5,202,0,12.2,0,22.3,6.4,44.2,0,0,2.4,0,1.3,0,15.2,137.7,26.2,1,77.1,114.9,192
175,19,31.5,202,0,0,0,3.9,0,15.2,0,0,0,0,0,0,0,13.9,2.9,0,5.7,30.6,36.4
0,21,32,202,0,0,0,4.9,2.6,12.6,0,0,2.2,0,0,0,37.3,7.6,5.1,1.6,38.7,63.8,102.5
20,21,32,202,0,0,0,5.9,3.3,15,0,0,2.2,0,0,0,40.7,8.3,5.2,0.9,46.1,61.9,107.9
35,21,32,202,0,0,0,7.4,4,16.6,0,0,2.4,0,0,0,40.9,7,6.2,1.9,50.7,62.1,112.7
50,21,32,202,0,0,0,4,2,10.7,0,0,0,0,0,0,28.5,8.7,5.1,1.5,44.4,55.7,100
65,21,32,202,0,0,0,7.2,3.4,18,0,0,1.8,0,0,0,39.4,11.5,6.6,1.8,55.3,72.7,128.1
80,21,32,202,0,0,0,10.1,4.7,24,0,0,2.4,0,0,0,36.8,18.5,7.8,1.7,60.5,91.1,151.6
100,21,32,202,0,16.3,1.3,30.4,10.5,74,0,0,5.5,0,1.8,0,28.3,42.3,12.4,2.6,80.2,181,261.1
125,21,32,202,0,12.4,0,23.4,7.8,43,0,0,2.9,0,0,0,16.6,124.6,22.7,1.1,71.8,119,190.9
175,21,32,202,0,0,0,4,0,14.4,0,0,0,0,0,0,0,13.8,2.3,0,8.2,24.9,33.2
0,23,32.5,202,0,0,0,5.9,3.4,15.9,0,0,2.5,0,0,0,49.4,12.4,6.2,1.4,56.6,64.4,120.9
20,23,32.5,202,0,0,0,9.1,4.5,24.7,0,0,3.7,0,0,0,59.6,14.2,7.1,1.8,63.4,79.1,142.5
35,23,32.5,202,0,0,0,7.7,3.6,20.9,0,0,2.2,0,0,0,49.7,18,8.1,1.5,67.3,84.1,151.4
50,23,32.5,202,0,3,0,16.8,7.8,40.8,0,0,4.4,0,0,0,55.9,20,10,1.9,76.7,106,182.7
65,23,32.5,202,0,25.4,0,38.4,17.3,82.2,0,0,5.7,0,2.7,0,41.7,42.5,12.8,2.5,89.9,200.1,289.9
80,23,32.5,202,0,30.1,0,34.5,15.8,84.3,0,0,4.7,0,2.4,0,30,40.3,12.4,2.3,93.2,184.6,277.8
100,23,32.5,202,0,0,0,13.4,5.4,26.3,0,0,1.9,0,0,0,8.8,43.3,8.5,0.7,39.3,96.9,136.2
125,23,32.5,202,0,0,0,6.2,1.8,22.1,0,0,0,0,0,0,2,35.6,6.8,0.7,15.2,48.7,63.9
175,23,32.5,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2
0,25,33,202,0,0,0,7,2.9,20.3,0,0,2.8,0,0,0,48.7,13.1,5.1,1.5,45.7,65.4,111
20,25,33,202,0,0,0,4.1,2.3,12.6,0,0,1,0,0,0,39.8,5.9,4.4,1.1,37.7,61,98.7
35,25,33,202,0,0,0,9.6,4.3,25.8,0,0,3.6,0,0,0,62.5,15.2,6.8,1.9,54,78.3,132.3
50,25,33,202,0,0,0,10.6,4.9,28.5,0,0,2.7,0,0,0,59.4,16.2,9.2,1.5,75,84.1,159.1
65,25,33,202,0,31.6,0,38,14.5,91,0,0,4.7,0,2.4,0,31.8,48.2,13.1,2.1,94.1,201.3,295.4
80,25,33,202,0,16.3,0,22.9,9.4,55,0,0,3.3,0,0,0,17.5,45.6,10.1,1.1,63.2,157.3,220.5
100,25,33,202,0,34.1,0,36,13.8,88.3,0,0,5,0,2.1,0,28.5,45.1,12.4,2.3,84.4,206.5,290.9
125,25,33,202,0,0,0,9.8,2.7,27.9,0,0,1.4,0,0,0,3.4,60.3,12.5,1.1,28.4,60.5,88.9
175,25,33,202,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,2.7,2.7
0,27,33.5,202,0,0,0,6,3.5,15.9,0,0,2.5,0,0,0,47.3,8.4,5.7,1.5,44.2,60.7,105
20,27,33.5,202,0,0,0,6.6,3.5,17,0,0,3.1,0,0,0,51.9,11.9,6.3,1.6,48.6,64.8,113.5
35,27,33.5,202,0,0,0,8.8,4.9,22.3,0,0,4.2,0,0,0,56.1,8.4,6.5,1.9,50,76,126
50,27,33.5,202,0,0,0,8.8,4.2,24.7,0,0,2.4,0,0,0,52.3,15.3,9.2,1.7,68.9,84.6,153.4
65,27,33.5,202,0,0,0,8.2,4.2,24.5,0,0,2,0,0,0,48.4,26.6,10.9,1.8,101,78.3,179.3
80,27,33.5,202,0,16.7,0,22.4,9.1,63.7,0,0,3.1,0,0,0,28.9,58.8,14,1.7,110,169.6,279.6
100,27,33.5,202,0,21.5,0,29.9,10.6,68.4,0,0,3.8,0,1.9,0,20.3,43.3,10,1.4,75.3,167.4,242.7
125,27,33.5,202,0,4.6,0,18,7.1,32.4,0,0,2.5,0,0,0,12.4,72.4,13,1.3,53,108.2,161.3
175,27,33.5,202,0,0,0,3.7,0,13.8,0,0,0,0,0,0,0,7.5,1.9,0,3.1,32.6,35.7
0,29,34,202,0,0,0,4.3,2.3,10.4,0,0,1.5,0,0,0,45,5.8,3.5,1.2,27,53.7,80.7
20,29,34,202,0,0,0,4.1,2.1,11,0,0,1.2,0,0,0,47.3,6.6,3.8,0.9,33,54,87
35,29,34,202,0,0,0,3.4,1.5,10,0,0,1.1,0,0,0,39.8,9,3.7,1,31.6,45.4,76.9
50,29,34,202,0,0,0,3.1,1.9,9,0,0,0.9,0,0,0,35.9,9.1,3.7,1,29.9,48.1,78
65,29,34,202,0,0,0,10.5,4.2,26.8,0,0,2.8,0,0,0,50.1,13.6,5.8,1.3,44.7,82.2,126.9
80,29,34,202,0,0,1.1,8.2,3.8,25.3,0,0,1.8,0,0,0,43.4,16.9,6.3,0.9,57.8,86.6,144.4
100,29,34,202,0,13.3,0,23.9,7.3,50.7,0,0,2.1,0,0,0,33.2,35.2,11.9,1.5,91.6,136.2,227.7
125,29,34,202,0,0,1.6,21.6,8.9,45.1,0,0,2.2,0,0,0,16.1,25.3,7.6,1.4,51.6,137.6,189.1
175,29,34,202,0,0,0,10,1.6,24.8,0,0,0.7,0,0,0,2.8,38.1,7.4,1.2,14.1,51.6,65.7
