depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
150,49,32.5,202,22.57,4.214,69.69,0,43.434,8.26,0,9.729,135.33,110.6,1,0,73.904,51.694,9.729
200,49,32.5,202,0,0,0,0,2.286,0.735,0,0,3.021,6.7,0.07182,0.92818,2.1218,0.89918,0
0,47,33,202,18.944,30.272,9.595,0,50.927,10.885,0,18.189,119.87,153.4,1,0,39.867,61.812,18.189
20,47,33,202,37.592,65.188,18.483,0,64.389,9.275,3.525,16.779,177.64,181.7,1,0,83.671,73.664,20.304
35,47,33,202,51.282,65.016,29.694,0,108.46,16.73,3.102,27.354,250.35,262,1,0,94.71,125.19,30.456
50,47,33,202,48.1,43.688,65.852,0,180.59,27.755,7.05,44.415,369.35,388.8,1,0,109.54,208.35,51.465
65,47,33,202,38.554,26.402,69.993,0,150.37,27.195,4.089,35.109,313.16,326.1,1,0,96.395,177.56,39.198
80,47,33,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,47,33,202,17.834,7.74,54.035,0,58.166,14.91,1.833,19.458,156.14,166.6,1,0,61.775,73.076,21.291
125,47,33,202,10.804,3.354,39.794,0,36.83,6.51,1.269,8.883,96.64,88.6,1,0,43.148,43.34,10.152
150,47,33,202,0.592,0,0,0,15.367,1.96,0,0,17.327,23.7,0.28602,0.71398,10.972,6.3553,0
200,47,33,202,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,0
0,46,33.25,202,31.598,50.74,14.241,1.74,70.866,11.97,2.82,19.317,171.69,211,1,0,64.981,84.576,22.137
20,46,33.25,202,37.074,57.534,16.564,0,80.137,13.055,2.115,21.855,191.26,221.9,1,0,74.098,93.192,23.97
35,46,33.25,202,43.216,60.888,24.038,0.78,100.2,15.855,4.089,25.521,231.37,265.6,1,0,84.926,116.84,29.61
50,46,33.25,202,54.464,44.806,45.551,0,143.51,23.8,3.948,33.84,295.45,331.8,1,0,90.357,167.31,37.788
65,46,33.25,202,44.104,25.37,77.467,0,114.81,27.195,4.23,38.775,287.84,319.2,1,0,102.84,142,43.005
80,46,33.25,202,26.788,13.158,67.064,0,76.2,21.455,3.243,32.571,213.69,238.1,1,0,80.222,97.655,35.814
100,46,33.25,202,9.102,4.558,31.512,0,44.704,8.715,0,13.536,103.03,107.5,1,0,36.07,53.419,13.536
125,46,33.25,202,3.552,1.204,13.837,0,28.956,4.375,0,6.486,54.858,56.6,0.70056,0.29944,23.712,24.66,6.486
150,46,33.25,202,0.148,0,3.838,0,15.748,3.08,0,3.807,26.473,33.8,0.41328,0.58672,13.078,9.5883,3.807
200,46,33.25,202,0,0,0,0,3.048,0.42,0,0,3.468,4.9,0.04914,0.95086,2.8982,0.56978,0
0,45,33.5,202,22.274,31.734,10.504,0,103,20.23,2.679,36.801,204.94,262.1,1,0,42.238,123.23,39.48
20,45,33.5,202,27.972,38.184,17.978,0,123.95,21.49,2.538,35.955,240.1,282.2,1,0,56.162,145.44,38.493
35,45,33.5,202,37.814,44.548,31.815,0,160.15,24.955,6.345,39.198,307.01,346.8,1,0,76.363,185.1,45.543
50,45,33.5,202,43.512,37.152,54.439,0,188.98,29.785,9.024,43.146,362.52,414.6,1,0,91.591,218.76,52.17
65,45,33.5,202,30.784,21.242,53.025,0,164.08,27.125,8.319,38.634,312.43,332.7,1,0,74.267,191.21,46.953
80,45,33.5,202,20.498,15.91,40.198,0,124.84,24.85,2.961,35.25,244.01,267.7,1,0,56.108,149.69,38.211
100,45,33.5,202,10.508,5.762,35.653,0,63.373,17.99,2.679,25.944,151.4,171.1,1,0,41.415,81.363,28.623
125,45,33.5,202,0,1.72,22.725,0,27.305,5.6,0,7.614,64.964,70.1,0.87066,0.12934,27.977,29.373,7.614
150,45,33.5,202,0,0,0,0,8.255,1.995,0,2.115,12.365,18.6,0.22176,0.77824,6.4244,3.8256,2.115
200,45,33.5,202,0,0,0,0,0,0,0,0,0,3.2,0.02772,0.97228,0,0,0
0,44,33.75,202,25.826,27.176,9.797,1.5,96.52,16.66,3.384,18.33,173.37,240.5,1,0,36.973,114.68,21.714
20,44,33.75,202,23.014,26.66,20.806,1.44,107.95,15.995,5.217,17.202,195.27,258,1,0,47.466,125.39,22.419
35,44,33.75,202,27.01,30.702,21.311,1.68,119.13,17.955,5.076,19.599,215.45,276.2,1,0,52.013,138.76,24.675
50,44,33.75,202,40.404,31.992,41.814,2.46,156.59,29.435,9.729,23.265,295.29,365.2,1,0,73.806,188.49,32.994
65,44,33.75,202,48.1,29.67,42.925,2.34,172.09,36.505,12.126,23.265,318.92,402.4,1,0,72.595,210.93,35.391
80,44,33.75,202,26.27,15.05,41.208,1.74,114.55,29.505,4.512,21.15,227.72,292.8,1,0,56.258,145.8,25.662
100,44,33.75,202,15.614,10.148,24.947,1.14,79.756,23.8,0,18.048,157.84,217,1,0,35.095,104.7,18.048
125,44,33.75,202,2.368,1.204,15.251,0,24.13,4.83,0,5.076,50.491,60.5,0.7497,0.2503,22.495,22.92,5.076
150,44,33.75,202,0,0,2.626,0,9.144,2.135,0,1.41,15.315,22.1,0.26586,0.73414,9.339,4.566,1.41
200,44,33.75,202,0,0,0,0,0,0,0,0,0,3,0.0252,0.9748,0,0,0
0,43,34,202,18.352,28.896,35.148,0,252.22,36.995,3.807,69.09,426.16,540.8,1,0,64.044,289.22,72.897
20,43,34,202,13.098,25.886,45.45,0,312.29,43.33,10.152,76.14,513.25,622.7,1,0,71.336,355.62,86.292
35,43,34,202,29.822,23.736,60.802,0,331.72,46.375,12.267,75.858,550.76,632.8,1,0,84.538,378.1,88.125
50,43,34,202,21.46,13.76,53.934,0,194.18,29.61,7.05,50.337,348.87,389.3,1,0,67.694,223.79,57.387
65,43,34,202,6.586,6.02,22.321,0,53.086,9.695,1.974,19.881,112.98,130.6,1,0,28.341,62.781,21.855
80,43,34,202,12.95,12.04,38.481,0,109.35,18.34,2.397,38.211,218.82,257.6,1,0,50.521,127.69,40.608
100,43,34,202,15.762,13.072,56.055,0,187.96,28.665,7.755,47.658,341.17,376,1,0,69.127,216.62,55.413
125,43,34,202,0,0,14.14,0,21.082,3.605,1.41,4.512,44.749,50.4,0.62244,0.37756,22.1,16.727,5.922
150,43,34,202,0,0,4.848,0,9.906,1.575,0,2.256,18.585,22.2,0.26712,0.73288,12.108,4.2211,2.256
200,43,34,202,0,0,0,0,2.032,0.42,0,0,2.452,6.7,0.07182,0.92818,1.8861,0.56594,0
0,42,34.25,202,15.244,26.574,52.015,0,223.27,34.825,16.074,51.606,404.36,542.8,1,0,78.589,258.09,67.68
20,42,34.25,202,17.168,29.756,61.812,0,272.03,41.615,29.328,54.144,488.69,636,1,0,91.568,313.65,83.472
35,42,34.25,202,20.72,33.54,82.416,0,370.08,56.175,34.263,69.372,645.84,805.7,1,0,115.96,426.25,103.63
50,42,34.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
