depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
125,19,31.5,202,57.054,13.072,139.08,0,56.134,7.805,0,9.024,225.11,192,1,0,152.15,63.939,9.024
175,19,31.5,202,4.218,0,14.039,0,19.304,1.365,0,0,34.708,36.4,0.44604,0.55396,24.733,9.9754,0
0,21,32,202,28.638,32.078,7.676,0,16.002,1.715,0,3.666,61.137,102.5,1,0,39.754,17.717,3.666
20,21,32,202,34.114,35.002,8.383,0,19.05,2.065,0,4.653,69.153,107.9,1,0,43.385,21.115,4.653
35,21,32,202,37.518,35.174,7.07,0,21.082,2.59,0,5.64,71.556,112.7,1,0,42.244,23.672,5.64
50,21,32,202,32.856,24.51,8.787,0,13.589,1.4,0,2.82,51.106,100,1,0,33.297,14.989,2.82
65,21,32,202,40.922,33.884,11.615,0,22.86,2.52,0,4.794,75.673,128.1,1,0,45.499,25.38,4.794
80,21,32,202,44.77,31.648,18.685,0,30.48,3.535,0,6.627,90.975,151.6,1,0,50.333,34.015,6.627
100,21,32,202,59.348,24.338,42.723,0,93.98,10.64,1.833,14.805,188.32,261.1,1,0,67.061,104.62,16.638
125,21,32,202,53.132,14.276,125.85,0,54.61,8.19,0,10.998,213.92,190.9,1,0,140.12,62.8,10.998
175,21,32,202,6.068,0,13.938,0,18.288,1.4,0,0,33.626,33.2,0.40572,0.59428,24.806,8.8198,0
0,23,32.5,202,41.884,42.484,12.524,0,20.193,2.065,0,4.794,82.06,120.9,1,0,55.008,22.258,4.794
20,23,32.5,202,46.916,51.256,14.342,0,31.369,3.185,0,6.345,106.5,142.5,1,0,65.598,34.554,6.345
35,23,32.5,202,49.802,42.742,18.18,0,26.543,2.695,0,5.076,95.236,151.4,1,0,60.922,29.238,5.076
50,23,32.5,202,56.758,48.074,20.2,0,51.816,5.88,0,10.998,136.97,182.7,1,0,68.274,57.696,10.998
65,23,32.5,202,66.526,35.862,42.925,0,104.39,13.44,0,24.393,221.01,289.9,1,0,78.787,117.83,24.393
80,23,32.5,202,68.968,25.8,40.703,0,107.06,12.075,0,22.278,207.92,277.8,1,0,66.503,119.14,22.278
100,23,32.5,202,29.082,7.568,43.733,0,33.401,4.69,0,7.614,97.006,136.2,1,0,51.301,38.091,7.614
125,23,32.5,202,11.248,1.72,35.956,0,28.067,2.17,0,2.538,70.451,63.9,0.79254,0.20746,43.499,24.414,2.538
175,23,32.5,202,0,0,0,0,0,0,0,0,0,2.2,0.01512,0.98488,0,0,0
0,25,33,202,33.818,41.882,13.231,0,25.781,2.45,0,4.089,87.433,111,1,0,55.113,28.231,4.089
20,25,33,202,27.898,34.228,5.959,0,16.002,1.435,0,3.243,60.867,98.7,1,0,40.187,17.437,3.243
35,25,33,202,39.96,53.75,15.352,0,32.766,3.36,0,6.063,111.29,132.3,1,0,69.102,36.126,6.063
50,25,33,202,55.5,51.084,16.362,0,36.195,3.71,0,6.909,114.26,159.1,1,0,67.446,39.905,6.909
65,25,33,202,69.634,27.348,48.682,0,115.57,13.3,0,20.445,225.35,295.4,1,0,76.03,128.87,20.445
80,25,33,202,46.768,15.05,46.056,0,69.85,8.015,0,13.254,152.23,220.5,1,0,61.106,77.865,13.254
100,25,33,202,62.456,24.51,45.551,0,112.14,12.6,0,19.458,214.26,290.9,1,0,70.061,124.74,19.458
125,25,33,202,21.016,2.924,60.903,0,35.433,3.43,0,3.807,106.5,88.9,1,0,63.827,38.863,3.807
175,25,33,202,0,0,0,0,1.016,0,0,0,1.016,2.7,0.02142,0.97858,0.99424,0.021763,0
0,27,33.5,202,32.708,40.678,8.484,0,20.193,2.1,0,4.935,76.39,105,1,0,49.162,22.293,4.935
20,27,33.5,202,35.964,44.634,12.019,0,21.59,2.31,0,4.935,85.488,113.5,1,0,56.653,23.9,4.935
35,27,33.5,202,37,48.246,8.484,0,28.321,3.08,0,6.909,95.04,126,1,0,56.73,31.401,6.909
50,27,33.5,202,50.986,44.978,15.453,0,31.369,3.08,0,5.922,100.8,153.4,1,0,60.431,34.449,5.922
65,27,33.5,202,74.74,41.624,26.866,0,31.115,2.87,0,5.922,108.4,179.3,1,0,68.49,33.985,5.922
80,27,33.5,202,81.4,24.854,59.388,0,80.899,7.84,0,12.831,185.81,279.6,1,0,84.242,88.739,12.831
100,27,33.5,202,55.722,17.458,43.733,0,86.868,10.465,0,14.946,173.47,242.7,1,0,61.191,97.333,14.946
125,27,33.5,202,39.22,10.664,73.124,0,41.148,6.3,0,10.011,141.25,161.3,1,0,83.788,47.448,10.011
175,27,33.5,202,2.294,0,7.575,0,17.526,1.295,0,0,26.396,35.7,0.43722,0.56278,17.438,8.9577,0
0,29,34,202,19.98,38.7,5.858,0,13.208,1.505,0,3.243,62.514,80.7,0.99862,0.00138,44.576,14.695,3.243
20,29,34,202,24.42,40.678,6.666,0,13.97,1.435,0,2.961,65.71,87,1,0,47.344,15.405,2.961
35,29,34,202,23.384,34.228,9.09,0,12.7,1.19,0,2.115,59.323,76.9,0.95634,0.04366,43.872,13.336,2.115
50,29,34,202,22.126,30.874,9.191,0,11.43,1.085,0,2.679,55.259,78,0.9702,0.0298,40.406,12.174,2.679
65,29,34,202,33.078,43.086,13.736,0,34.036,3.675,0,5.922,100.45,126.9,1,0,56.822,37.711,5.922
80,29,34,202,42.772,37.324,17.069,0,32.131,2.87,1.551,5.358,96.303,144.4,1,0,54.393,35.001,6.909
100,29,34,202,67.784,28.552,35.552,0,64.389,8.365,0,10.293,147.15,227.7,1,0,64.104,72.754,10.293
125,29,34,202,38.184,13.846,25.553,0,57.277,7.56,2.256,12.549,119.04,189.1,1,0,39.399,64.837,14.805
175,29,34,202,10.434,2.408,38.481,0,31.496,3.5,0,2.256,78.141,65.7,0.81522,0.18478,46.709,29.176,2.256
0,31,34.5,202,32.93,44.29,3.939,0,20.447,2.275,0,3.666,74.617,112.3,1,0,48.229,22.722,3.666
20,31,34.5,202,35.668,48.762,8.686,0,25.273,3.045,0,4.512,90.278,118.4,1,0,57.448,28.318,4.512
35,31,34.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,31,34.5,202,43.734,45.15,13.837,0,37.211,4.095,0,6.768,107.06,155.3,1,0,58.987,41.306,6.768
65,31,34.5,202,50.616,36.722,21.109,0,53.213,6.37,0,9.588,127,187.4,1,0,57.831,59.583,9.588
80,31,34.5,202,59.274,33.626,34.239,0,75.311,10.045,0,14.805,168.03,232.7,1,0,67.865,85.356,14.805
100,31,34.5,202,46.694,21.758,43.43,0,120.9,16.415,0,24.111,226.62,285.8,1,0,65.188,137.32,24.111
125,31,34.5,202,41.588,12.04,95.748,0,49.403,11.13,0,14.946,183.27,179.6,1,0,107.79,60.533,14.946
175,31,34.5,202,6.216,0,17.069,0,19.812,1.75,0,2.115,40.746,48.5,0.5985,0.4015,25.024,13.607,2.115
0,33,35,202,41.292,55.9,15.958,0,76.454,7.42,0,12.549,168.28,214.4,1,0,71.858,83.874,12.549
20,33,35,202,38.628,65.102,19.19,0,80.391,7.28,4.23,13.677,189.87,230,1,0,84.292,87.671,17.907
35,33,35,202,40.922,59.426,20.301,0,72.898,6.265,3.948,13.677,176.51,230.3,1,0,79.727,79.163,17.625
50,33,35,202,55.722,69.746,30.906,0,123.06,12.845,4.089,23.829,264.48,309.1,1,0,100.65,135.91,27.918
65,33,35,202,98.198,57.62,73.73,0,258.83,31.745,6.204,56.964,485.09,528.1,1,0,131.35,290.57,63.168
80,33,35,202,29.008,15.136,49.086,0,75.438,11.445,0,19.599,170.7,206.8,1,0,64.222,86.883,19.599
100,33,35,202,45.51,12.728,127.06,0,66.294,8.715,0,11.985,226.78,195.5,1,0,139.79,75.009,11.985
125,33,35,202,8.732,1.204,28.078,0,37.846,2.87,0,3.525,73.523,74.3,0.92358,0.07642,32.174,37.824,3.525
175,33,35,202,0,0,0,0,0,0,0,0,0,3.5,0.0315,0.9685,0,0,0
0,36,35.5,202,36.408,49.364,11.312,0,36.576,2.87,0,5.217,105.34,139.7,1,0,60.676,39.446,5.217
20,36,35.5,202,37.888,54.954,29.391,0,40.767,3.605,1.692,4.653,135.06,152.6,1,0,84.345,44.372,6.345
35,36,35.5,202,67.71,81.614,39.693,0,91.44,9.59,3.525,15.933,241.79,270.5,1,0,121.31,101.03,19.458
50,36,35.5,202,71.928,37.582,68.175,0,154.94,19.495,6.909,28.341,315.44,366.5,1,0,105.76,174.44,35.25
65,36,35.5,202,46.028,17.2,58.681,0,91.44,11.095,0,16.92,195.34,277,1,0,75.881,102.53,16.92
80,36,35.5,202,31.006,11.008,38.683,0,75.438,11.305,0,15.369,151.8,210.3,1,0,49.691,86.743,15.369
100,36,35.5,202,35.446,9.632,146.35,0,61.849,9.065,0,11.844,238.74,170.8,1,0,155.98,70.914,11.844
125,36,35.5,202,1.628,0.86,51.914,0,26.543,1.925,0,2.82,84.062,47,0.5796,0.4204,63.933,17.309,2.82
175,36,35.5,202,0,0,44.642,0,0,0,0,0,44.642,0,-9999,-9999,-9999,-9999,0
0,34,36,202,28.786,39.732,12.322,0,46.228,5.075,0,9.87,113.23,152.7,1,0,52.054,51.303,9.87
20,34,36,202,45.362,67.166,18.584,0,55.372,5.425,2.679,11.421,160.65,205,1,0,85.75,60.797,14.1
35,34,36,202,59.126,75.508,27.977,0,73.787,7.77,3.948,16.074,205.06,247.5,1,0,103.48,81.557,20.022
50,34,36,202,98.42,65.274,72.215,0,106.43,12.565,5.076,21.714,283.27,346.7,1,0,137.49,118.99,26.79
65,34,36,202,109.82,45.924,92.415,0,158.12,18.9,4.512,33.84,353.71,419.1,1,0,138.34,177.02,38.352
80,34,36,202,36.038,14.19,40.097,0,98.425,13.615,0,22.56,188.89,254,1,0,54.287,112.04,22.56
100,34,36,202,23.088,7.052,42.723,0,33.909,5.6,0,9.729,99.013,137.9,1,0,49.775,39.509,9.729
125,34,36,202,16.354,2.494,49.49,0,34.671,3.115,0,3.243,93.013,87.5,1,0,51.984,37.786,3.243
175,34,36,202,0,0,0,0,2.032,0,0,0,2.032,4.7,0.04662,0.95338,1.9373,0.094732,0
