depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
0,2,26,202,28.49,30.96,0,0,4.572,0.56,0,2.256,38.348,66,0.819,0.181,31.788,4.3045,2.256
20,2,26,202,31.968,37.668,0,0,5.969,0.665,0,3.243,47.545,80.3,0.99678,0.00322,37.687,6.6148,3.243
35,2,26,202,36.408,43.43,0,0,7.239,0.91,0,3.525,55.104,86.2,1,0,43.43,8.149,3.525
50,2,26,202,30.932,33.884,0,0,7.112,0.875,0,3.807,45.678,78.8,0.98028,0.01972,34.024,7.8468,3.807
65,2,26,202,35.89,43,7.474,0,7.747,0.735,0,3.384,62.34,90.5,1,0,50.474,8.482,3.384
80,2,26,202,72.372,35.088,19.897,0,18.923,2.135,0,4.089,80.132,173.7,1,0,54.985,21.058,4.089
100,2,26,202,75.48,31.132,24.947,0,24.13,2.835,0,5.076,88.12,186.1,1,0,56.079,26.965,5.076
125,2,26,202,94.498,19.178,59.085,0,44.069,6.545,0,8.742,137.62,275.6,1,0,78.263,50.614,8.742
175,2,26,202,5.402,1.032,15.049,0,18.669,1.61,0,1.269,37.629,47.4,0.58464,0.41536,23.835,12.525,1.269
0,4,27,202,13.246,27.348,0,0,3.683,0.595,0,0,31.626,48.8,0.60228,0.39772,28.813,2.8132,0
20,4,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,4,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,4,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
65,4,27,202,34.632,45.064,7.777,0,14.478,1.575,0,2.256,71.15,109.7,1,0,52.841,16.053,2.256
80,4,27,202,62.16,43.602,18.281,0,15.494,1.855,0,1.692,80.924,152.7,1,0,61.883,17.349,1.692
100,4,27,202,114.4,44.806,48.48,0,82.169,13.265,0,16.638,205.36,342.3,1,0,93.286,95.434,16.638
125,4,27,202,69.116,21.844,33.229,0,70.866,9.625,0,12.267,147.83,257.7,1,0,55.073,80.491,12.267
175,4,27,202,4.44,0,14.241,0,23.622,2.905,0,2.397,43.165,45.1,0.55566,0.44434,24.737,16.031,2.397
0,9,29,202,41.44,47.816,14.14,0,18.542,2.485,0,3.384,86.367,126.4,1,0,61.956,21.027,3.384
20,9,29,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,9,29,202,41.44,39.474,12.423,0,15.621,2.03,0,3.666,73.214,126.7,1,0,51.897,17.651,3.666
50,9,29,202,47.582,50.912,16.564,0,26.035,3.465,0,5.217,102.19,143.2,1,0,67.476,29.5,5.217
65,9,29,202,61.938,55.04,24.038,0,43.942,5.705,0,10.434,139.16,205.3,1,0,79.078,49.647,10.434
80,9,29,202,74.148,29.584,56.358,0,81.026,11.655,0,21.432,200.06,309.8,1,0,85.942,92.681,21.432
100,9,29,202,53.946,17.028,42.824,0,77.597,11.935,0,20.727,170.11,264.6,1,0,59.852,89.532,20.727
125,9,29,202,30.562,10.922,21.008,0,41.402,6.755,0,10.011,90.098,157.3,1,0,31.93,48.157,10.011
175,9,29,202,0,0,0,0,11.303,0.945,0,0,12.248,23.9,0.28854,0.71146,8.0416,4.2064,0
0,11,29.5,202,65.712,29.24,32.32,0,36.195,5.495,0,9.588,112.84,223.1,1,0,61.56,41.69,9.588
20,11,29.5,202,70.892,31.734,34.744,0,42.037,5.775,0,9.447,123.74,234,1,0,66.478,47.812,9.447
35,11,29.5,202,67.192,34.572,36.158,0,45.212,6.405,0,11.139,133.49,236.4,1,0,70.73,51.617,11.139
50,11,29.5,202,71.928,43.344,37.875,0,68.199,10.325,0,15.792,175.53,262.7,1,0,81.219,78.524,15.792
65,11,29.5,202,72.594,42.054,37.976,0,60.706,9.065,0,15.651,165.45,269.6,1,0,80.03,69.771,15.651
80,11,29.5,202,64.158,33.282,39.188,0,66.294,9.24,0,15.228,163.23,264.3,1,0,72.47,75.534,15.228
100,11,29.5,202,65.416,33.626,40.905,0,96.774,15.085,2.538,22.56,211.49,303.8,1,0,74.531,111.86,25.098
125,11,29.5,202,30.266,13.76,23.432,0,43.18,7,0,10.293,97.665,145.2,1,0,37.192,50.18,10.293
175,11,29.5,202,5.18,0.946,16.463,0,27.178,2.59,0,2.679,49.856,52.3,0.64638,0.35362,27.02,20.157,2.679
0,13,30,202,74.444,43.086,32.825,0,34.036,4.48,0,8.037,122.46,227.5,1,0,75.911,38.516,8.037
20,13,30,202,72.372,43.43,29.088,0,42.037,6.125,0,9.306,129.99,234.7,1,0,72.518,48.162,9.306
35,13,30,202,73.852,43.946,31.714,0,39.37,5.46,0,8.319,128.81,234.5,1,0,75.66,44.83,8.319
50,13,30,202,72.742,51.944,33.936,0,61.849,9.485,0,15.933,173.15,256.6,1,0,85.88,71.334,15.933
65,13,30,202,81.03,50.654,33.431,0,74.295,11.48,0,17.766,187.63,294.8,1,0,84.085,85.775,17.766
80,13,30,202,75.036,53.32,42.218,0,93.853,13.825,0,20.868,224.08,315.8,1,0,95.538,107.68,20.868
100,13,30,202,83.102,46.612,41.208,0,71.501,9.52,0,13.959,182.8,282.6,1,0,87.82,81.021,13.959
125,13,30,202,15.614,5.246,27.977,0,24.13,3.885,0,3.666,64.904,88.2,1,0,33.223,28.015,3.666
175,13,30,202,0.814,0,0,0,11.176,0.84,0,0,12.016,24,0.2898,0.7102,7.9372,4.0788,0
0,15,30.5,202,67.71,57.018,29.088,0,36.068,4.97,0,8.601,135.75,201.4,1,0,86.106,41.038,8.601
20,15,30.5,202,59.2,33.712,27.472,0,33.782,4.76,0,8.037,107.76,212.1,1,0,61.184,38.542,8.037
35,15,30.5,202,71.188,46.44,35.855,0,65.659,9.415,0,16.497,173.87,281.1,1,0,82.295,75.074,16.497
50,15,30.5,202,70.226,52.546,34.643,0,78.74,11.865,0,18.753,196.55,286.1,1,0,87.189,90.605,18.753
65,15,30.5,202,75.184,45.322,47.167,0,91.948,13.65,2.256,20.022,220.37,309.6,1,0,92.489,105.6,22.278
80,15,30.5,202,62.752,24.338,39.794,0,71.755,10.255,0,14.241,160.38,261,1,0,64.132,82.01,14.241
100,15,30.5,202,62.826,27.52,44.238,0,68.707,9.765,0,14.946,165.18,270.3,1,0,71.758,78.472,14.946
125,15,30.5,202,52.836,17.974,29.29,0,41.402,6.195,0,9.447,104.31,202.9,1,0,47.264,47.597,9.447
175,15,30.5,202,1.48,0,15.15,0,13.462,1.295,0,0,29.907,32.4,0.39564,0.60436,23.286,6.6211,0
0,17,31,202,48.914,29.756,16.665,0,19.05,2.625,0,4.935,73.031,137.9,1,0,46.421,21.675,4.935
20,17,31,202,58.904,35.604,21.008,0,26.543,3.5,0,5.781,92.436,163.3,1,0,56.612,30.043,5.781
35,17,31,202,46.916,37.582,19.493,0,32.512,4.375,0,7.05,101.01,156.3,1,0,57.075,36.887,7.05
50,17,31,202,52.688,41.366,23.937,0,34.925,4.62,0,8.319,113.17,170.2,1,0,65.303,39.545,8.319
65,17,31,202,62.678,43.602,26.664,0,44.577,6.055,0,9.447,130.34,192.5,1,0,70.266,50.632,9.447
80,17,31,202,61.938,35.088,27.169,0,41.148,5.6,0,8.742,117.75,190.7,1,0,62.257,46.748,8.742
100,17,31,202,54.168,22.876,24.543,0,31.369,4.27,0,6.768,89.826,184.5,1,0,47.419,35.639,6.768
125,17,31,202,34.484,10.406,34.239,0,32.639,5.215,0,7.896,90.395,137.1,1,0,44.645,37.854,7.896
175,17,31,202,6.586,1.204,25.755,0,21.463,1.995,0,1.833,52.25,47.9,0.59094,0.40906,35.739,14.678,1.833
0,19,31.5,202,28.86,36.12,11.11,0,15.367,1.645,0,3.948,68.19,90.2,1,0,47.23,17.012,3.948
20,19,31.5,202,28.49,38.786,11.312,0,15.748,1.785,0,3.948,71.579,95.7,1,0,50.098,17.533,3.948
35,19,31.5,202,27.676,38.184,9.09,0,17.145,1.995,0,3.948,70.362,99.3,1,0,47.274,19.14,3.948
50,19,31.5,202,32.264,33.97,8.888,0,18.034,2.03,0,3.807,66.729,105.8,1,0,42.858,20.064,3.807
65,19,31.5,202,62.752,36.808,29.997,0,46.99,5.635,1.974,6.768,128.17,206.3,1,0,66.805,52.625,8.742
80,19,31.5,202,73.334,30.702,32.522,0,67.183,7.49,2.115,10.293,150.31,251.5,1,0,63.224,74.673,12.408
100,19,31.5,202,49.432,18.404,40.905,0,88.392,9.835,2.256,15.651,175.44,235.7,1,0,59.309,98.227,17.907
