Cruise, Station, Type, yyyy-mm-ddThh:mm:ss.sss, Longitude [degrees_east], Latitude [degrees_north], Bot. Depth [m], Pressure [dbar], QF, Nitrate [umol/kg], QF, Phosphate [umol/kg], QF, Silicate [umol/kg], QF, Depth from Pressure [m], QF, Section Latitude, QF, QV:ODV:SAMPLE
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 0.00000, 1, 0.15000, 1, 0.04400, 1, 0.47000, 1, 0.000, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 20.00000, 1, 0.11000, 1, 0.04800, 1, 0.67000, 1, 19.869, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 35.00000, 1, 0.18000, 1, 0.05200, 1, 0.87000, 1, 34.770, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 50.00000, 1, 0.13000, 1, 0.05600, 1, 0.75000, 1, 49.669, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 65.00000, 1, 0.02000, 1, 0.05600, 1, 0.80000, 1, 64.567, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 80.00000, 1, 0.10000, 1, 0.06000, 1, 0.69000, 1, 79.465, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 100.00000, 1, 0.11000, 1, 0.06800, 1, 0.73000, 1, 99.326, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 125.00000, 1, 0.12000, 1, 0.06800, 1, 0.77000, 1, 124.150, 1, , 1, 1
SE0902, 2, B, 2009-03-17T02:30:00.000, 202.00000, 26.00000, 5000, 175.00000, 1, 2.66000, 1, 0.25900, 1, 2.38000, 1, 173.789, 1, , 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 0.00000, 1, 0.12000, 1, 0.05200, 1, 1.37000, 1, 0.000, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 20.00000, 1, , 1, , 1, , 1, 19.865, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 35.00000, 1, 0.13000, 1, 0.06400, 1, 1.26000, 1, 34.762, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 50.00000, 1, 0.08000, 1, 0.04900, 1, 0.99000, 1, 49.658, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 65.00000, 1, 0.09000, 1, 0.15900, 1, 1.03000, 1, 64.553, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 80.00000, 1, 0.17000, 1, 0.09500, 1, 1.07000, 1, 79.447, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 100.00000, 1, 0.18000, 1, 0.08000, 1, 1.12000, 1, 99.303, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 125.00000, 1, 0.43000, 1, 0.08800, 1, 1.48000, 1, 124.122, 1, 29.00000, 1, 1
SE0902, 9, B, 2009-03-18T05:27:00.000, 202.00000, 29.00000, 5000, 175.00000, 1, 5.18000, 1, 0.41900, 1, 4.34000, 1, 173.749, 1, 29.00000, 1, 1
SE0902, 11, B, 2009-03-19T00:27:00.000, 202.00000, 29.50000, 5000, 0.00000, 1, 0.28000, 1, 0.04800, 1, 3.14000, 1, 0.000, 1, 29.50000, 1, 1
SE0902, 11, B, 2009-03-19T00:27:00.000, 202.00000, 29.50000, 5000, 20.00000, 1, 0.36000, 1, 0.05600, 1, 2.30000, 1, 19.864, 1, 29.50000, 1, 1
