Cruise, Station, Type, yyyy-mm-ddThh:mm:ss.sss, Longitude [degrees_east], Latitude [degrees_north], Bot. Depth [m], Pressure [dbar], QF, Nitrate [umol/kg], QF, Phosphate [umol/kg], QF, Silicate [umol/kg], QF, Depth from Pressure [m], QF, Section Latitude, QF, QV:ODV:SAMPLE
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 125.00000, 1, 0.80000, 1, 0.08200, 1, 1.48000, 1, 124.136, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 150.00000, 1, 1.88000, 1, 0.17900, 1, 2.75000, 1, 148.954, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 200.00000, 1, 5.19000, 1, 0.39100, 1, 5.02000, 1, 198.581, 1, 27.50000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 0.00000, 1, 0.84000, 1, 0.03600, 1, 0.96000, 1, 0.000, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 20.00000, 1, 0.78000, 1, 0.03900, 1, 1.11000, 1, 19.866, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 35.00000, 1, 0.72000, 1, 0.03800, 1, 1.11000, 1, 34.764, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 50.00000, 1, 0.91000, 1, 0.03800, 1, 1.25000, 1, 49.662, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 65.00000, 1, 1.05000, 1, 0.04100, 1, 1.11000, 1, 64.558, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 80.00000, 1, 0.99000, 1, 0.04700, 1, 1.26000, 1, 79.453, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 100.00000, 1, 1.22000, 1, 0.09000, 1, 1.96000, 1, 99.311, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 125.00000, 1, 3.05000, 1, 0.22500, 1, 2.80000, 1, 124.131, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 150.00000, 1, 4.50000, 1, 0.32100, 1, 3.78000, 1, 148.948, 1, 28.00000, 1, 1
SE0802, 10, B, 2008-03-26T19:44:00.000, 202.00000, 28.00000, 5000, 200.00000, 1, 7.84000, 1, 0.55800, 1, 6.44000, 1, 198.574, 1, 28.00000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 0.00000, 1, 0.41000, 1, 0.02400, 1, 1.32000, 1, 0.000, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 20.00000, 1, 0.43000, 1, 0.02700, 1, 1.34000, 1, 19.865, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 35.00000, 1, 0.31000, 1, 0.03000, 1, 1.36000, 1, 34.763, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 50.00000, 1, 0.38000, 1, 0.04200, 1, 1.53000, 1, 49.660, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 65.00000, 1, 0.36000, 1, 0.05300, 1, 1.70000, 1, 64.555, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 80.00000, 1, 0.42000, 1, 0.05900, 1, 1.86000, 1, 79.450, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 100.00000, 1, 0.63000, 1, 0.08900, 1, 2.18000, 1, 99.307, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 125.00000, 1, 2.64000, 1, 0.23300, 1, 3.24000, 1, 124.126, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 150.00000, 1, 4.29000, 1, 0.34400, 1, 4.44000, 1, 148.943, 1, 28.50000, 1, 1
SE0802, 12, B, 2008-03-26T22:00:00.000, 202.00000, 28.50000, 5000, 200.00000, 1, 8.02000, 1, 0.60500, 1, 7.28000, 1, 198.566, 1, 28.50000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 0.00000, 1, 0.10000, 1, 0.02900, 1, 1.30000, 1, 0.000, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 20.00000, 1, 0.00000, 1, 0.03000, 1, 1.29000, 1, 19.865, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 35.00000, 1, 0.05000, 1, 0.03600, 1, 1.05000, 1, 34.762, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 50.00000, 1, 0.36000, 1, 0.03600, 1, 1.17000, 1, 49.658, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 65.00000, 1, 0.36000, 1, 0.04000, 1, 1.29000, 1, 64.553, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 80.00000, 1, 0.21000, 1, 0.04300, 1, 1.17000, 1, 79.447, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 100.00000, 1, 0.26000, 1, 0.05500, 1, 1.29000, 1, 99.303, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 125.00000, 1, 0.36000, 1, 0.08500, 1, 2.02000, 1, 124.122, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 150.00000, 1, 1.82000, 1, 0.21800, 1, 3.25000, 1, 148.937, 1, 29.00000, 1, 1
SE0802, 14, B, 2008-03-27T00:13:00.000, 202.00000, 29.00000, 5000, 200.00000, 1, 6.03000, 1, 0.48800, 1, 5.70000, 1, 198.559, 1, 29.00000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 0.00000, 1, 0.33000, 1, 0.03600, 1, 1.02000, 1, 0.000, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 20.00000, 1, 0.10000, 1, 0.03600, 1, 1.02000, 1, 19.864, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 35.00000, 1, 0.20000, 1, 0.03300, 1, 1.15000, 1, 34.760, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 50.00000, 1, 0.21000, 1, 0.03600, 1, 1.01000, 1, 49.656, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 65.00000, 1, 0.27000, 1, 0.04500, 1, 1.29000, 1, 64.550, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 80.00000, 1, 0.03000, 1, 0.05100, 1, 1.70000, 1, 79.443, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 100.00000, 1, 0.38000, 1, 0.06000, 1, 1.56000, 1, 99.299, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 125.00000, 1, 1.51000, 1, 0.15100, 1, 2.12000, 1, 124.117, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 150.00000, 1, 3.55000, 1, 0.29500, 1, 3.37000, 1, 148.931, 1, 29.50000, 1, 1
SE0802, 16, B, 2008-03-27T02:24:00.000, 202.00000, 29.50000, 5000, 200.00000, 1, 7.39000, 1, 0.51700, 1, 6.72000, 1, 198.551, 1, 29.50000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 0.00000, 1, 0.37000, 1, 0.03900, 1, 1.83000, 1, 0.000, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 20.00000, 1, 0.35000, 1, 0.03900, 1, 1.96000, 1, 19.863, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 35.00000, 1, 0.33000, 1, 0.04500, 1, 1.94000, 1, 34.759, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 50.00000, 1, -9999, 1, -9999, 1, -9999, 1, 49.654, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 65.00000, 1, 0.17000, 1, 0.04800, 1, 2.07000, 1, 64.548, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 80.00000, 1, 0.28000, 1, 0.05600, 1, 2.20000, 1, 79.440, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 100.00000, 1, 1.27000, 1, 0.15900, 1, 3.36000, 1, 99.295, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 125.00000, 1, 4.41000, 1, 0.34100, 1, 4.82000, 1, 124.112, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 150.00000, 1, 6.05000, 1, 0.44100, 1, 5.99000, 1, 148.925, 1, 30.00000, 1, 1
SE0802, 18, B, 2008-03-27T04:37:00.000, 202.00000, 30.00000, 5000, 200.00000, 1, 7.56000, 1, 0.54900, 1, 7.74000, 1, 198.543, 1, 30.00000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 0.00000, 1, 0.15000, 1, 0.05100, 1, 2.08000, 1, 0.000, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 20.00000, 1, 0.03000, 1, 0.05400, 1, 2.08000, 1, 19.862, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 35.00000, 1, 0.04000, 1, 0.05500, 1, 2.08000, 1, 34.758, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 50.00000, 1, 0.10000, 1, 0.05900, 1, 2.08000, 1, 49.652, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 65.00000, 1, 0.05000, 1, 0.06200, 1, 1.89000, 1, 64.545, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 80.00000, 1, -0.01000, 1, 0.07000, 1, 2.08000, 1, 79.437, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 100.00000, 1, 0.06000, 1, 0.09800, 1, 2.46000, 1, 99.291, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 125.00000, 1, 3.12000, 1, 0.31300, 1, 4.17000, 1, 124.107, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 150.00000, 1, 5.09000, 1, 0.44100, 1, 5.49000, 1, 148.919, 1, 30.50000, 1, 1
SE0802, 20, B, 2008-03-27T06:44:00.000, 202.00000, 30.50000, 5000, 200.00000, 1, 7.91000, 1, 0.61800, 1, 7.77000, 1, 198.535, 1, 30.50000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 0.00000, 1, 0.24000, 1, 0.05200, 1, 1.89000, 1, 0.000, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 20.00000, 1, 0.35000, 1, 0.05600, 1, 2.03000, 1, 19.861, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 35.00000, 1, 0.37000, 1, 0.05300, 1, 1.90000, 1, 34.756, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 50.00000, 1, 0.48000, 1, 0.05600, 1, 1.90000, 1, 49.650, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 65.00000, 1, 0.45000, 1, 0.06200, 1, 2.05000, 1, 64.542, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 80.00000, 1, 0.32000, 1, 0.06600, 1, 2.19000, 1, 79.434, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 100.00000, 1, 0.29000, 1, 0.07200, 1, 2.20000, 1, 99.287, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 125.00000, 1, 1.30000, 1, 0.16000, 1, 3.19000, 1, 124.102, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 150.00000, 1, -9999, 1, -9999, 1, -9999, 1, 148.913, 1, 31.00000, 1, 1
SE0802, 22, B, 2008-03-27T08:52:00.000, 202.00000, 31.00000, 5000, 200.00000, 1, 8.38000, 1, 0.59500, 1, 7.85000, 1, 198.527, 1, 31.00000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 0.00000, 1, 0.14000, 1, 0.04700, 1, 1.70000, 1, 0.000, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 20.00000, 1, 0.08000, 1, 0.13300, 1, 1.51000, 1, 19.861, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 35.00000, 1, 0.07000, 1, 0.04600, 1, 1.51000, 1, 34.755, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 50.00000, 1, -9999, 1, -9999, 1, -9999, 1, 49.649, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 65.00000, 1, 0.07000, 1, 0.04600, 1, 1.70000, 1, 64.541, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 80.00000, 1, 0.12000, 1, 0.05200, 1, 1.51000, 1, 79.432, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 100.00000, 1, 0.98000, 1, 0.14600, 1, 2.84000, 1, 99.285, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 125.00000, 1, 2.69000, 1, 0.27100, 1, 4.16000, 1, 124.099, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 150.00000, 1, 4.83000, 1, 0.38600, 1, 5.29000, 1, 148.910, 1, 31.25000, 1, 1
SE0802, 23, B, 2008-03-27T11:13:00.000, 202.00000, 31.25000, 5000, 200.00000, 1, 6.91000, 1, 0.51100, 1, 6.80000, 1, 198.523, 1, 31.25000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 0.00000, 1, 0.28000, 1, 0.05200, 1, 2.02000, 1, 0.000, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 20.00000, 1, 0.26000, 1, 0.05200, 1, 1.88000, 1, 19.861, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 35.00000, 1, 0.62000, 1, 0.06000, 1, 2.30000, 1, 34.755, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 50.00000, 1, -9999, 1, -9999, 1, -9999, 1, 49.648, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 65.00000, 1, 0.65000, 1, 0.06300, 1, 2.43000, 1, 64.540, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 80.00000, 1, 0.69000, 1, 0.06500, 1, 2.71000, 1, 79.431, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 100.00000, 1, 0.72000, 1, 0.05900, 1, 2.28000, 1, 99.283, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 125.00000, 1, 1.36000, 1, 0.12000, 1, 3.13000, 1, 124.097, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 150.00000, 1, 3.19000, 1, 0.26400, 1, 4.25000, 1, 148.907, 1, 31.50000, 1, 1
SE0802, 24, B, 2008-03-27T13:17:00.000, 202.00000, 31.50000, 5000, 200.00000, 1, 7.20000, 1, 0.51300, 1, 7.08000, 1, 198.519, 1, 31.50000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 0.00000, 1, 0.43000, 1, 0.05500, 1, 2.08000, 1, 0.000, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 20.00000, 1, 0.40000, 1, 0.05800, 1, 2.23000, 1, 19.860, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 35.00000, 1, 0.37000, 1, 0.04400, 1, 1.53000, 1, 34.754, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 50.00000, 1, 0.39000, 1, 0.05900, 1, 2.38000, 1, 49.647, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 65.00000, 1, 0.36000, 1, 0.05100, 1, 1.53000, 1, 64.538, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 80.00000, 1, 0.42000, 1, 0.06600, 1, 2.39000, 1, 79.429, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 100.00000, 1, 0.29000, 1, 0.08100, 1, 2.82000, 1, 99.281, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 125.00000, 1, 2.91000, 1, 0.27200, 1, 4.38000, 1, 124.094, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 150.00000, 1, -9999, 1, -9999, 1, -9999, 1, 148.904, 1, 31.75000, 1, 1
SE0802, 25, B, 2008-03-27T15:24:00.000, 202.00000, 31.75000, 5000, 200.00000, 1, 7.90000, 1, 0.56800, 1, 7.78000, 1, 198.515, 1, 31.75000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 0.00000, 1, 0.21000, 1, 0.05300, 1, 2.65000, 1, 0.000, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 20.00000, 1, 0.26000, 1, 0.05300, 1, 2.53000, 1, 19.860, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 35.00000, 1, 0.31000, 1, 0.05800, 1, 2.53000, 1, 34.753, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 50.00000, 1, 0.26000, 1, 0.06400, 1, 2.78000, 1, 49.646, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 65.00000, 1, 0.37000, 1, 0.06400, 1, 2.79000, 1, 64.537, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 80.00000, 1, 0.21000, 1, 0.07500, 1, 3.04000, 1, 79.427, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 100.00000, 1, 0.37000, 1, 0.10200, 1, 3.29000, 1, 99.279, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 125.00000, 1, 2.98000, 1, 0.28400, 1, 4.40000, 1, 124.092, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 150.00000, 1, 0.26000, 1, 0.09500, 1, 3.17000, 1, 148.901, 1, 32.00000, 1, 1
SE0802, 26, B, 2008-03-27T17:33:00.000, 202.00000, 32.00000, 5000, 200.00000, 1, 7.81000, 1, 0.57900, 1, 8.39000, 1, 198.511, 1, 32.00000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 0.00000, 1, 0.49000, 1, 0.08300, 1, 2.87000, 1, 0.000, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 20.00000, 1, 0.44000, 1, 0.09500, 1, 3.38000, 1, 19.859, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 35.00000, 1, 0.50000, 1, 0.10400, 1, 3.40000, 1, 34.753, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 50.00000, 1, 0.55000, 1, 0.11700, 1, 3.66000, 1, 49.645, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 65.00000, 1, 0.55000, 1, 0.11100, 1, 3.93000, 1, 64.536, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 80.00000, 1, 1.01000, 1, 1.02900, 8, 4.31000, 1, 79.426, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 100.00000, 1, 1.56000, 1, 0.20500, 1, 3.96000, 1, 99.277, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 125.00000, 1, 5.78000, 1, 0.44700, 1, 5.82000, 1, 124.089, 1, 32.25000, 1, 1
SE0802, 27, B, 2008-03-27T19:43:00.000, 202.00000, 32.25000, 5000, 150.00000, 1, 7.60000, 1, 0.55800, 1, 7.19000, 1, 148.898, 1, 32.25000, 1, 1
