Cruise, Station, Type, yyyy-mm-ddThh:mm:ss.sss, Longitude [degrees_east], Latitude [degrees_north], Bot. Depth [m], Pressure [dbar], QF, Nitrate [umol/kg], QF, Phosphate [umol/kg], QF, Silicate [umol/kg], QF, Depth from Pressure [m], QF, Section Latitude, QF, QV:ODV:SAMPLE
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 0.00000, 1, 0.70000, 1, 0.04800, 1, 0.54000, 1, 0.000, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 20.00000, 1, 0.76000, 1, 0.04800, 1, 0.54000, 1, 19.868, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 35.00000, 1, 0.58000, 1, 0.04800, 1, 0.54000, 1, 34.767, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 50.00000, 1, 0.34000, 1, 0.05100, 1, 0.53000, 1, 49.665, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 65.00000, 1, 0.40000, 1, 0.05100, 1, 0.53000, 1, 64.563, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 80.00000, 1, 0.46000, 1, 0.05700, 1, 0.53000, 1, 79.459, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 100.00000, 1, 0.42000, 1, 0.04900, 1, 0.66000, 1, 99.319, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 125.00000, 1, 0.48000, 1, 0.05800, 1, 0.80000, 1, 124.141, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 150.00000, 1, 0.87000, 1, 0.08700, 1, 1.35000, 1, 148.960, 1, 27.00000, 1, 1
SE0802, 6, B, 2008-03-26T15:13:00.000, 202.00000, 27.00000, 5000, 200.00000, 1, 3.97000, 1, 0.34500, 1, 3.72000, 1, 198.589, 1, 27.00000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 0.00000, 1, 0.28000, 1, 0.04900, 1, 0.80000, 1, 0.000, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 20.00000, 1, 0.36000, 1, 0.04300, 1, 0.80000, 1, 19.867, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 35.00000, 1, 0.44000, 1, 0.03900, 1, 0.79000, 1, 34.766, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 50.00000, 1, 0.51000, 1, 0.04200, 1, 0.93000, 1, 49.663, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 65.00000, 1, 0.36000, 1, 0.03900, 1, 0.78000, 1, 64.560, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 80.00000, 1, -9999, 1, -9999, 1, -9999, 1, 79.456, 1, 27.50000, 1, 1
SE0802, 8, B, 2008-03-26T17:26:00.000, 202.00000, 27.50000, 5000, 100.00000, 1, 0.29000, 1, 0.03800, 1, 1.20000, 1, 99.315, 1, 27.50000, 1, 1
