"Year","SST","TZCF"  
2003,30.39,31.37  
2004,31.53,32.56  
2005,31.55,32.15  
2006,32.59,33.04  
2007,32.83,33.32  
2008,32.75,32.95  
2009,33.09,36.48  
2010,30.43,30.38  
2011,33.05,33.9  
2012,33.37,34.65  
2013,33.36,35.55  
2014,30.79,33.51  
