36	0.1174
35.9	0.1127
35.8	0.1176
35.7	0.1086
35.6	0.105
35.5	0.1072
35.4	0.1048
35.3	0.1121
35.2	0.1305
35.1	0.1157
35	0.0979
34.9	0.1045
34.8	0.1132
34.7	0.0908
34.6	0.0886
34.5	0.0846
34.4	0.0797
34.3	0.0784
34.2	0.0789
34.1	0.0739
34	0.0703
33.9	0.0678
33.8	0.0673
33.7	0.0693
33.6	0.067
33.5	0.0654
33.4	0.0628
33.3	0.0584
33.2	0.0597
33.1	0.0597
33	0.0591
32.9	0.0585
32.8	0.0614
32.7	0.0625
32.6	0.0597
32.5	0.0609
32.4	0.065
32.3	0.0667
32.2	0.065
32.1	0.0598
32	0.0538
31.9	0.049
31.8	0.0498
31.7	0.0544
31.6	0.0556
31.5	0.0588
31.4	0.0574
31.3	0.061
31.2	0.0639
31.1	0.0702
31	0.0739
30.9	0.0864
30.8	0.0926
30.7	0.0771
30.6	0.0831
30.5	0.1366
30.4	0.1406
30.3	0.0831
30.2	0.0794
30.1	0.0832
30	0.0907
