             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2009 00:00 to 01-APR-2009 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
31.5N,0.0647,0.07222,0.07174,0.06898,0.07024,0.06991,0.06625,0.0515,0.04928,0.05106,0.05608,0.06304,0.06362,0.06166,0.0616,0.06368,0.05804,0.05541,0.05224,0.05216,0.05316
31.6N,0.06378,0.06475,0.05605,0.05665,0.06056,0.06126,0.06163,0.05984,0.05768,0.0565,0.0553,0.05677,0.05406,0.05436,0.05621,0.06124,0.0554,0.0567,0.05937,0.05646,0.05448
31.7N,0.06272,0.06624,0.06639,0.06399,0.06143,0.06049,0.05889,0.05677,0.05299,0.05389,0.05463,0.05554,0.05274,0.05507,0.05431,0.0453,0.05589,0.05352,0.03984,0.04158,0.05713
31.8N,0.05686,0.0584,0.0626,0.06707,0.06855,0.06727,0.06554,0.05537,0.04831,0.04735,0.05213,0.05114,0.05067,0.04885,0.04706,0.04483,0.04813,0.0493,0.04891,0.04799,0.0536
31.9N,0.06527,0.05901,0.05757,0.05833,0.06433,0.06869,0.07143,0.06328,0.05492,0.04916,0.05032,0.05172,0.05051,0.04778,0.04265,0.04154,0.04341,0.04653,0.04807,0.04998,0.05111
32N,0.09919,0.08076,0.09226,0.08096,0.07545,0.08976,0.09088,0.08498,0.06273,0.0569,0.05592,0.05321,0.05149,0.04898,0.04665,0.04596,0.07061,0.0747,0.06668,0.04286,0.04354
32.1N,0.08519,0.08386,0.08704,0.08061,0.08133,0.0879,0.08838,0.08892,0.09052,0.0892,0.07144,0.07638,0.08522,0.07637,0.06897,0.06694,0.06813,0.06742,0.06689,0.06412,0.06404
32.2N,0.04425,0.04675,0.07541,0.07692,0.08088,0.08452,0.08566,0.08613,0.0928,0.09129,0.08864,0.08723,0.089,0.08351,0.07783,0.06771,0.0664,0.06269,0.06552,0.06323,0.06361
32.3N,0.04425,0.04491,0.07586,0.07157,0.08434,0.08715,0.08701,0.08738,0.08734,0.08688,0.08781,0.0875,0.08881,0.08683,0.08335,0.07621,0.07076,0.06657,0.06703,0.04232,0.04159
32.4N,0.04667,0.04833,0.04856,0.07691,0.0872,0.08745,0.08673,0.08382,0.08372,0.08107,0.08163,0.08184,0.08228,0.08699,0.07283,0.06949,0.06225,0.06054,0.05332,0.05164,0.04967
32.5N,0.0499,0.05075,0.04989,0.05136,0.05968,0.06383,0.06793,0.06756,0.06955,0.07052,0.06945,0.06922,0.069,0.06919,0.06981,0.06957,0.0697,0.06923,0.0588,0.0572,0.05842
32.6N,0.0534,0.05301,0.05428,0.05788,0.05818,0.05733,0.05968,0.06101,0.05995,0.05999,0.0604,0.06291,0.06368,0.06419,0.06235,0.06458,0.06387,0.06,0.05504,0.05659,0.05804
32.7N,0.06067,0.0568,0.05366,0.05568,0.0628,0.06118,0.05588,0.05698,0.05729,0.05483,0.05514,0.05507,0.06453,0.06037,0.05638,0.06255,0.06163,0.05744,0.05499,0.05537,0.05542
32.8N,0.08018,0.07979,0.07955,0.083,0.08755,0.08661,0.08181,0.07713,0.07757,0.07901,0.07901,0.08104,0.06571,0.06365,0.05846,0.05912,0.05691,0.05919,0.05919,0.05807,0.05975
32.9N,0.0781,0.0805,0.083,0.08414,0.08496,0.08165,0.07973,0.0784,0.07877,0.07817,0.07784,0.07821,0.07529,0.07527,0.08078,0.08139,0.05968,0.05788,0.05827,0.05862,0.05802
33N,0.08361,0.08741,0.08587,0.08622,0.08526,0.08382,0.07765,0.0779,0.08015,0.0815,0.08095,0.08036,0.07946,0.07899,0.08136,0.08114,0.07905,0.06063,0.05662,0.07261,0.0711
33.1N,0.09263,0.08919,0.08806,0.08831,0.08221,0.08285,0.07853,0.07823,0.08056,0.08412,0.08395,0.08443,0.08464,0.08183,0.07684,0.07505,0.07358,0.07282,0.04991,0.07373,0.0747
33.2N,0.1154,0.08615,0.08479,0.08463,0.08134,0.08239,0.09178,0.08084,0.08523,0.08646,0.08677,0.08517,0.08241,0.07847,0.07522,0.07031,0.06963,0.05404,0.05539,0.05709,0.08314
33.3N,0.09324,0.0945,0.09342,0.09326,0.09229,0.09322,0.1046,0.1001,0.101,0.1013,0.09468,0.09086,0.08906,0.08724,0.08204,0.05428,0.05383,0.05641,0.05648,0.05607,0.08182
33.4N,0.1074,0.1495,0.1495,0.1025,0.1004,0.1001,0.1002,0.1033,0.1061,0.1031,0.0892,0.08624,0.08414,0.09086,0.0802,0.07612,0.08009,0.07795,0.07933,0.07306,0.07405
33.5N,0.1159,0.1145,0.1147,0.1051,0.102,0.09948,0.1006,0.1002,0.1014,0.09963,0.08986,0.08754,0.08953,0.08796,0.07983,0.08072,0.08251,0.08031,0.08005,0.07801,0.08169
33.6N,0.1046,0.1043,0.1022,0.103,0.1024,0.09931,0.09716,0.09826,0.09893,0.1028,0.09648,0.09335,0.08741,0.08779,0.08243,0.08079,0.08191,0.08503,0.08502,0.08118,0.08048
33.7N,0.1024,0.1004,0.0989,0.1005,0.1011,0.1007,0.09684,0.09713,0.09391,0.09499,0.09485,0.09044,0.09063,0.08868,0.08319,0.07814,0.08116,0.08185,0.08535,0.08334,0.08274
33.8N,0.1048,0.09944,0.09724,0.09765,0.09863,0.09834,0.09452,0.09298,0.08758,0.08629,0.085,0.08485,0.0849,0.08694,0.08785,0.08734,0.0902,0.08961,0.08732,0.08435,0.08345
33.9N,0.1422,0.1006,0.09877,0.09758,0.09933,0.09866,0.09487,0.0932,0.08647,0.08431,0.0845,0.08637,0.08476,0.08564,0.08516,0.08462,0.08449,0.08316,0.08197,0.08104,0.08232
34N,0.09944,0.1036,0.1094,0.1073,0.1019,0.09983,0.09408,0.08761,0.08383,0.08363,0.08364,0.08479,0.08559,0.08646,0.08438,0.08285,0.08098,0.08086,0.08369,0.08496,0.08512
34.1N,0.09945,0.09876,0.09821,0.1023,0.1056,0.1023,0.09449,0.09067,0.08993,0.08926,0.0878,0.08519,0.09175,0.09015,0.08836,0.08804,0.08946,0.08932,0.08943,0.09278,0.09279
34.2N,0.0894,0.09133,0.09318,0.09321,0.09548,0.09469,0.1326,0.1336,0.1324,0.1302,0.128,0.08768,0.08447,0.08113,0.08613,0.08928,0.09031,0.08983,0.09162,0.09468,0.09673
34.3N,0.09942,0.1029,0.1239,0.09054,0.09173,0.09135,0.09232,0.09331,0.09603,0.09587,0.09485,0.08865,0.08604,0.08341,0.08424,0.08758,0.08886,0.09138,0.09661,0.09476,0.09546
34.4N,0.1013,0.09837,0.09739,0.09431,0.08902,0.08821,0.08605,0.08591,0.0907,0.09103,0.09023,0.08851,0.09102,0.09021,0.08963,0.09061,0.09054,0.09151,0.0975,0.09948,0.09992
34.5N,0.104,0.1027,0.09936,0.09747,0.08907,0.07953,0.08152,0.08297,0.08973,0.09254,0.09553,0.09342,0.121,0.09519,0.09369,0.09185,0.09012,0.08936,0.09175,0.09902,0.09899
34.6N,0.1048,0.1021,0.09853,0.09986,0.1008,0.1026,0.1021,0.09842,0.0887,0.0944,0.09706,0.1008,0.1213,0.1265,0.141,0.1426,0.1418,0.09888,0.1073,0.1067,0.1073
34.7N,0.1056,0.1083,0.1035,0.09899,0.09912,0.09993,0.09959,0.1005,0.1009,0.09371,0.09118,0.1137,0.1187,0.1307,0.1483,0.1615,0.1585,0.1566,0.1225,0.1246,0.1181
34.8N,0.1075,0.1068,0.104,0.1012,0.1053,0.1088,0.1116,0.1184,0.1234,0.119,0.1152,0.1113,0.1215,0.1463,0.1577,0.1547,0.1492,0.1412,0.1151,0.1104,0.1061
34.9N,0.1005,0.104,0.1086,0.1111,0.116,0.1234,0.1334,0.1346,0.1285,0.1229,0.124,0.115,0.1146,0.144,0.1392,0.1311,0.1236,0.1138,0.1029,0.106,0.1073
35N,0.1204,0.1252,0.1274,0.1249,0.1254,0.1231,0.1334,0.1324,0.1216,0.1113,0.1112,0.118,0.1261,0.1243,0.1446,0.1362,0.125,0.1222,0.1106,0.1122,0.1246
35.1N,0.1219,0.1229,0.1267,0.1334,0.1347,0.1393,0.1412,0.1425,0.1478,0.1426,0.125,0.1229,0.1208,0.1198,0.1448,0.1436,0.1415,0.1228,0.1168,0.1107,0.1101
35.2N,0.1154,0.1269,0.1295,0.1319,0.1402,0.1485,0.1524,0.1578,0.1556,0.1513,0.1452,0.132,0.1268,0.1666,0.1423,0.1172,0.1151,0.1155,0.1093,0.1008,0.1009
35.3N,0.1241,0.1298,0.1336,0.13,0.1323,0.1472,0.1516,0.156,0.1514,0.1422,0.1314,0.1261,0.1466,0.1476,0.1228,0.1114,0.1134,0.1182,0.1132,0.1076,0.1144
35.4N,0.1368,0.1431,0.1394,0.1335,0.134,0.134,0.1365,0.1409,0.1648,0.1658,0.1389,0.1263,0.1321,0.1214,0.1206,0.1165,0.1235,0.1261,0.132,0.1294,0.1103
35.5N,0.1313,0.1412,0.1383,0.1312,0.1254,0.1261,0.1287,0.147,0.1433,0.1395,0.1267,0.1252,0.1274,0.1196,0.1161,0.1098,0.1226,0.1256,0.1318,0.12,0.113
35.6N,0.1415,0.1347,0.1344,0.1209,0.1111,0.1182,0.1219,0.1552,0.128,0.1304,0.122,0.1182,0.1162,0.114,0.1108,0.1047,0.104,0.1039,0.1127,0.1124,0.1104
35.7N,0.1394,0.1294,0.1202,0.1207,0.1151,0.128,0.1547,0.1649,0.1316,0.1279,0.1295,0.1258,0.1219,0.1182,0.1155,0.1158,0.1098,0.1081,0.1083,0.1072,0.0985
35.8N,0.1302,0.1216,0.1197,0.1353,0.1236,0.1345,0.1541,0.1508,0.1451,0.1441,0.1258,0.1211,0.1201,0.115,0.108,0.1049,0.1002,0.1073,0.1149,0.113,0.1064
35.9N,0.1315,0.13,0.1223,0.1313,0.1288,0.1254,0.1379,0.1341,0.1285,0.1252,0.1245,0.1231,0.1191,0.102,0.09626,0.09093,0.08978,0.098,0.1105,0.1141,0.1093
36N,0.1139,0.1311,0.1181,0.137,0.1371,0.1274,0.1245,0.1182,0.1101,0.1105,0.1136,0.1126,0.1114,0.1068,0.09373,0.09323,0.09032,0.0912,0.09567,0.1033,0.102
