             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2009 00:00 to 01-APR-2009 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
30N,0.08085,0.07907,0.0822,0.08166,0.0856,0.08279,0.09176,0.08995,0.07643,0.04405,0.04753,0.04643,0.04134,0.06199,0.06908,0.06782,0.07788,0.07495,0.07718,0.08275,0.08411
30.1N,0.08151,0.07943,0.07016,0.07328,0.05005,0.04839,0.04956,0.07889,0.07722,0.06237,0.07078,0.05395,-3.4E+38,-3.4E+38,0.05849,0.05913,0.07887,0.07354,0.06712,0.07403,0.08195
30.2N,0.08099,0.07519,0.0731,0.07231,0.05369,0.05256,0.06782,0.07165,0.07712,0.07867,0.07985,0.07442,0.04642,0.05128,-3.4E+38,-3.4E+38,-3.4E+38,0.06519,0.06434,0.0805,0.0749
30.3N,0.07489,0.07331,0.07139,0.06891,0.05244,0.05244,0.07132,0.07933,0.07594,0.07492,0.07831,0.07535,0.06495,0.05267,0.05485,0.06853,0.06617,0.0672,0.0659,0.08069,0.08268
30.4N,0.07153,0.06897,0.0706,0.07572,0.07931,0.08704,-3.4E+38,-3.4E+38,0.08207,-3.4E+38,-3.4E+38,0.09665,0.08848,0.05334,-3.4E+38,0.08039,0.06708,0.0644,0.08369,0.05942,0.05761
30.5N,0.07242,0.07167,0.07974,0.08276,0.0885,0.08704,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.09386,0.07885,-3.4E+38,0.08039,0.06979,0.069,0.06478,0.0614,0.06351
30.6N,0.07922,0.0907,0.09023,0.0894,0.08986,0.08225,-3.4E+38,-3.4E+38,-3.4E+38,0.08609,0.08565,0.08522,0.08896,0.08512,0.08712,0.07499,0.07589,0.07489,0.05853,0.06339,0.06624
30.7N,0.09082,0.09265,0.09269,0.0938,0.08878,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.08609,0.08705,0.09076,0.09136,0.07969,0.07884,0.07766,0.07698,0.07677,0.05964,0.05853,0.05863
30.8N,0.08572,0.08717,0.09097,0.0904,0.09291,-3.4E+38,-3.4E+38,-3.4E+38,-3.4E+38,0.04561,0.07905,0.08064,0.08006,0.08016,0.07798,0.07905,0.07606,0.07541,0.07475,0.07257,0.07186
30.9N,0.08168,0.08329,0.07965,0.0776,0.05925,-3.4E+38,-3.4E+38,0.05252,0.09652,0.08308,0.08308,0.08411,0.08439,0.09155,0.08428,0.08197,0.07658,0.06514,0.06593,0.07132,0.06174
31N,0.08146,0.08735,0.08788,0.06069,0.06154,0.05465,0.05505,0.05321,0.08515,0.0978,0.09731,0.0962,0.09513,0.09163,0.08523,0.08041,0.07664,0.0662,0.06143,0.05882,0.05372
31.1N,0.08575,0.09569,0.08858,0.09456,0.05492,0.06106,0.0578,0.05485,0.08366,0.08062,0.08034,0.0852,0.08306,0.08436,0.08424,0.07196,0.07013,0.0675,0.06035,0.05735,0.05725
31.2N,0.07389,0.07523,0.06907,0.07064,0.06772,0.0778,-3.4E+38,-3.4E+38,0.06912,0.06658,0.06641,0.06587,0.06635,0.06967,0.08089,0.0663,0.06591,0.06548,0.05976,0.05752,0.05627
31.3N,0.09361,0.09565,0.07961,0.06996,0.06819,0.06557,0.0689,0.05612,0.06357,0.06489,0.06388,0.06439,0.06359,0.06433,0.06653,0.06371,0.06326,0.0615,0.05892,0.05992,0.06092
31.4N,0.082,0.08282,0.07828,0.07597,0.07623,0.06603,0.05429,0.05062,0.04908,0.06205,0.06359,0.06371,0.06425,0.06476,0.06461,0.0644,0.0589,0.05589,0.05523,0.05838,0.05905
