             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2011 00:00 to 01-APR-2011 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
32.6N,0.07344,0.07945,0.09041,0.102,0.1128,0.1142,0.1166,0.116,0.1171,0.1168,0.114,0.1112,0.1064,0.109,0.1122,0.1105,0.1119,0.1151,0.1197,0.1165,0.1173
32.7N,0.08869,0.1054,0.1082,0.1103,0.1194,0.12,0.1199,0.1166,0.1187,0.1203,0.1193,0.1144,0.1091,0.1127,0.1188,0.1156,0.1166,0.1203,0.123,0.1215,0.12
32.8N,0.1159,0.1184,0.1198,0.1183,0.1182,0.1187,0.1192,0.1185,0.1253,0.1296,0.1292,0.1287,0.1252,0.1227,0.1211,0.1206,0.1229,0.1284,0.126,0.124,0.1181
32.9N,0.1291,0.1309,0.1314,0.1299,0.1339,0.1344,0.135,0.1398,0.142,0.1378,0.1382,0.1374,0.1319,0.1289,0.1227,0.1246,0.133,0.1336,0.1285,0.1219,0.1166
33N,0.1253,0.1322,0.1357,0.1391,0.1443,0.1443,0.1402,0.1454,0.1475,0.1458,0.1468,0.145,0.1423,0.1426,0.1373,0.1365,0.1331,0.1321,0.1294,0.1237,0.1205
33.1N,0.1276,0.1303,0.1366,0.146,0.1532,0.155,0.1572,0.1571,0.1522,0.1467,0.1446,0.147,0.1488,0.1556,0.16,0.1591,0.1535,0.1424,0.1364,0.127,0.1202
33.2N,0.1375,0.1376,0.1403,0.1478,0.1522,0.1546,0.1647,0.1588,0.1546,0.1474,0.144,0.1465,0.15,0.1516,0.1549,0.157,0.1577,0.1553,0.1479,0.1275,0.1202
33.3N,0.1438,0.1461,0.1475,0.1483,0.1497,0.1509,0.169,0.1664,0.1541,0.1462,0.1437,0.1415,0.1411,0.1367,0.1301,0.1373,0.1383,0.1382,0.1378,0.133,0.1305
33.4N,0.1436,0.1437,0.1501,0.1542,0.1542,0.1565,0.1608,0.158,0.1377,0.1231,0.1239,0.1237,0.1131,0.1103,0.1208,0.135,0.1376,0.1385,0.1334,0.1259,0.1215
33.5N,0.1408,0.1393,0.1468,0.1459,0.152,0.1528,0.1563,0.1494,0.1427,0.1307,0.1262,0.1226,0.1122,0.1038,0.1099,0.1283,0.1193,0.1105,0.1172,0.1171,0.118
