nutricline,depth15,mld,stratindex,npindjfm,pdofebmar,eke
41.8,42.9,38.3,0.50,-3.4,1.8,188.4
86.3,98.8,29.0,1.03,0.6,-0.5,249.5
106.8,126.6,26.1,1.00,-0.5,-0.3,263.3
86.8,116.1,33.8,0.78,0.4,-0.7,236.2
102.6,120.2,94.5,0.78,4.6,-1.6,153.9
86.9,111.9,56.2,0.63,2.2,-0.8,171.5
