year,zone, Pro, Prym, Pel, Diat, Dino, Other, Total, Pico, Nano, Micro
2008,1,10.823,4.8741,2.4086,0.15536,0.060748,1.7432,20.03,12.567,7.2827,0.21611
2009,1,9.2722,5.5545,1.7993,0.31583,0.093593,6.4849,23.408,15.757,7.3539,0.40942
2011,1,9.995,7.8744,3.9643,0.35961,0.34,6.3788,28.904,16.374,11.839,0.69961
2008,2,10.915,16.749,5.7768,0.56997,0.72353,2.5779,37.312,13.493,22.526,1.2935
2009,2,7.8502,10.299,3.0428,0.64852,0.27352,7.2176,29.09,15.068,13.342,0.92205
2011,2,4.9203,11.804,6.2557,1.1052,0.48777,6.7852,31.358,11.706,18.06,1.5929
