    ....   ....  1.205  1.202  1.203  1.190  1.265  1.281   ....  1.167  1.055
   1.315  1.276  1.172  1.203  1.217  1.202  1.091  1.043   ....  1.120  1.059
   1.101  1.226  1.142  1.154  1.184  1.177  1.123  1.113   ....  1.155  1.095
   1.041  1.073  1.093  1.160  1.174  1.180  1.119  1.106   ....  1.128  1.102
    ....   ....   ....   ....  1.170  1.132  1.121  1.144  1.117  1.119  1.134
   1.222  1.172  1.143  1.160  1.178  1.158  1.187  1.173  1.111  1.115  1.109
   1.229  1.178  1.199  1.201  1.174  1.177  1.177  1.152  1.075  1.095  1.111
   1.261  1.190  1.197  1.216  1.151  1.122  1.132  1.126  1.102  1.132  1.139
   1.174  1.169  1.229  1.206  1.176  1.162  1.140  1.113  1.100  1.087  1.073
   1.185  1.177  1.131  1.150  1.161  1.060  0.993  0.994  0.983  0.958  0.918
   1.268  1.199  1.130  1.143  1.167  1.143  1.041  0.985  0.958  0.935  0.926
   1.333  1.281  1.206  1.199  1.202  1.108  1.075  1.014  0.989  0.956  1.017
   1.258  1.131  1.135  1.196  1.179  1.091  1.046  1.022  1.013  1.014  1.057
   1.251  1.115  1.226  1.252  1.187  1.126  1.086  1.031  1.019  1.007  1.025
   1.166  1.139  1.188  1.210  1.189  1.149  1.083  1.051  1.035  0.996  1.006
   1.171  1.229  1.274  1.247  1.163  1.101  1.102  1.064  1.030  1.001  1.002
   1.107  1.162  1.247  1.159  1.146  1.122  1.112  1.075  1.082  1.024  1.014
   1.118  1.079  1.087  1.080  1.181  1.205  1.210  1.173  1.145  1.058  1.026
   1.121  1.092  1.088  1.120  1.162  1.200  1.185  1.126  1.118  1.093  1.038
   1.105  1.104  1.120  1.131  1.133  1.158  1.118  1.035  1.032  1.005  0.953
   1.088  1.101  1.154  1.173  1.166  1.211  1.189  1.056  0.972  0.968  0.955
   1.121  1.131  1.130  1.131  1.140  1.162  1.118  1.013  1.005  0.964  0.940
   1.099  1.082  1.097  1.107  1.138  1.110  1.053  0.980  0.955  0.933  0.918
   1.031  0.990  1.040  1.068  1.138  1.074  1.059  1.011  0.973  0.950  0.899
   1.005  0.968  1.052  1.087  1.059  1.047  1.053  1.031  0.989  0.982  0.971
   0.973  0.973  1.018  1.047  1.050  1.058  1.054  1.055  1.045  1.028  0.988
   0.994  0.966  1.001  1.047  1.071  1.046  1.037  1.039  1.016  1.020  0.997
