             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 30-MAR-2008 00:00 to 15-APR-2008 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
32.5N,0.08049,0.08255,0.08163,0.08113,0.08015,0.08101,0.08713,0.08354,0.07887,0.07483,0.07104,0.0704,0.06612,0.06587,0.06643,0.06633,0.06578,0.06843,0.06959,0.06768,0.06398
32.6N,0.0837,0.07754,0.07857,0.07964,0.08249,0.08115,0.09347,0.08566,0.08949,0.09012,0.09008,0.08927,0.08521,0.07855,0.08467,0.08128,0.07952,0.07583,0.07569,0.07651,0.0742
32.7N,0.1093,0.08323,0.08678,0.09123,0.09456,0.09574,0.09998,0.1016,0.1009,0.1034,0.1031,0.09758,0.09768,0.09738,0.09398,0.09294,0.09336,0.08902,0.08308,0.08027,0.07878
32.8N,0.1225,0.1256,0.1067,0.1091,0.1148,0.1173,0.1189,0.1149,0.1108,0.1002,0.09782,0.09281,0.09131,0.091,0.09103,0.0909,0.0941,0.09253,0.09101,0.08633,0.08322
32.9N,0.1324,0.1319,0.1281,0.1237,0.1206,0.1239,0.125,0.1234,0.1208,0.1121,0.1064,0.09685,0.08865,0.08538,0.08472,0.08374,0.08385,0.08109,0.08221,0.08259,0.08337
33N,0.1333,0.1326,0.1311,0.1283,0.1157,0.1164,0.1225,0.1208,0.1225,0.1213,0.1199,0.1107,0.09713,0.09002,0.08683,0.08695,0.09127,0.08496,0.08387,0.07073,0.07614
33.1N,0.1344,0.1254,0.116,0.1142,0.1137,0.1134,0.1196,0.1186,0.1162,0.1169,0.1159,0.1105,0.1019,0.08713,0.08416,0.09025,0.09343,0.08796,0.08852,0.06725,0.06831
33.2N,0.124,0.1237,0.1167,0.1147,0.1154,0.1144,0.1208,0.1175,0.1105,0.1066,0.1017,0.09052,0.1038,0.09007,0.08613,0.08517,0.0802,0.08009,0.08214,0.07993,0.0812
33.3N,0.1316,0.1311,0.1329,0.1256,0.1204,0.1206,0.1163,0.117,0.1207,0.113,0.1073,0.1063,0.1106,0.1119,0.09931,0.1002,0.1036,0.09225,0.08749,0.07498,0.07945
33.4N,0.1343,0.1365,0.135,0.1256,0.1232,0.1222,0.1183,0.1184,0.1175,0.1157,0.1149,0.115,0.1149,0.12,0.1228,0.1252,0.1195,0.1092,0.1039,0.1004,0.09977
