"Year","SST","TZCF"  
2003,30.21,31.37  
2004,31.19,32.56  
2005,29.68,32.15  
2006,32.1,33.04  
2007,31.67,33.32  
2008,32.6,32.95  
2009,32.58,36.48  
2010,30.12,30.38  
2011,32.78,33.9  
2012,32.32,34.65  
2013,32.28,35.55  
2014,30.61,33.51  
