   1.815  1.727  1.674  1.559  1.429  1.251  1.468  1.523  1.425  1.340  1.332
   1.700  1.601  1.505  1.409  1.316  1.307  1.470  1.466  1.398  1.353  1.379
   1.637  1.540  1.494  1.388  1.370  1.383  1.417  1.398  1.425  1.410  1.365
   1.598  1.546  1.561  1.498  1.459  1.468  1.458  1.416  1.408  1.411  1.369
   1.560  1.568  1.585  1.553  1.516  1.478  1.443  1.353  1.329  1.357  1.364
   1.528  1.513  1.545  1.583  1.559  1.448  1.340  1.236  1.214  1.282  1.289
   1.490  1.570  1.550  1.556  1.512  1.427  1.289  1.209  1.189  1.226  1.198
   1.507  1.567  1.526  1.524  1.472  1.450  1.415  1.245  1.224  1.257  1.185
   1.478  1.526  1.463  1.442  1.427  1.376  1.361  1.277  1.232  1.214  1.163
   1.420  1.445  1.455  1.451  1.438  1.438  1.320  1.318  1.285  1.213  1.204
   1.437  1.468  1.487  1.444  1.410  1.403  1.335  1.282  1.245  1.235  1.241
   1.493  1.422  1.380  1.356  1.388  1.341  1.351  1.283  1.201  1.197  1.263
   1.427  1.376  1.340  1.319  1.264  1.259  1.227  1.209  1.176  1.140  1.243
