   1.594  1.611  1.528  1.539  1.546  1.552  1.406  1.356  1.325  1.310  1.357
   1.523  1.459  1.461  1.506  1.629  1.425  1.312  1.366  1.313  1.333  1.406
   1.429  1.458  1.470  1.493  1.370  1.228  1.243  1.278  1.259  1.331  1.358
   1.339  1.394  1.429  1.428  1.280  1.224  1.202  1.240  1.279  1.310  1.241
   1.325  1.352  1.457  1.453  1.429  1.317  1.226  1.231  1.266  1.277  1.271
   1.360  1.462  1.416  1.473  1.503  1.250  1.201  1.201  1.227  1.286  1.292
   1.406  1.447  1.402  1.442  1.463  1.379  1.140  1.148  1.232  1.143  1.238
   1.474  1.343  1.273  1.180  1.146  1.142   ....  1.100  1.157  1.132  1.255
   1.318  1.343  1.218  1.093  1.046   ....   ....   ....   ....  1.220  1.321
   1.291  1.327  1.300   ....   ....   ....  1.120  1.179  1.222  1.262  1.270
   1.276  1.264  1.305   ....  1.284  1.158  1.125  1.179  1.183  1.231  1.208
   1.299  1.197  1.076  0.990  1.094  1.110  1.081  1.118  1.158  1.175  1.152
    ....  1.014  1.015  1.009  1.119  1.002  1.008  1.056  1.116  1.137  1.140
    ....  0.988  0.961  0.971  1.034  1.003  1.008  1.045  1.069  1.152  1.153
   1.113  1.004  1.061  1.086  1.032  1.039  1.047  1.116  1.168  1.235  1.277
   1.098  1.046  1.117  1.207  1.058  1.071  1.059  1.097  1.215  1.302  1.382
   1.068  1.070  1.174  1.271  1.205  1.093  1.078  1.269  1.286  1.336  1.380
   1.118  1.115  1.091  1.093  1.165  1.167  1.206  1.262  1.312  1.318  1.245
