nutricline,depth15,mld,stratindex,npindjfm,pdofebmar,eke
41.8,42.9,38.3,0.5,-3.4,1.8,187.2
86.3,98.8,29,1.03,0.6,-0.5,175.6
106.8,126.6,26.1,1,-0.5,-0.3,205.3
86.8,121.7,29.8,0.68,0.4,-0.7,300.3
102.6,119.3,93.8,0.64,4.6,-1.6,136.6
86.9,128.9,43,0.44,2.2,-0.8,130.9
