26	2	0	0	0.9	0	2.7	4.6	3.7	NaN	0	3.5	0	0	0	39.9	10	2.2	1.6	50.1	15.9	66.1
26	2	20	0	1.1	0	2.6	4.3	4.8	NaN	0	3	0	0	0	53.7	11	3.8	2.6	52	20.6	72.6
26	2	35	0	1.7	2.6	3.9	5.2	10	NaN	0	4.6	0	0	0	52.1	11.7	4.5	2.2	50.7	29.3	80
26	2	50	0	1.2	2	4.1	4.7	10	NaN	0	2.8	0	0	0	46.6	13.3	4.4	2.2	51.8	29	80.8
26	2	65	0	3.8	2.6	6.9	5.1	15	NaN	0	3.6	0	0	0	49.2	18.4	6.2	1.8	68.8	30.1	98.9
26	2	80	0	14.1	2.3	17.2	4.4	47.6	NaN	0	4.1	0	0	0	41.3	65.4	15.7	2.5	143.4	64.5	207.9
26	2	100	0	36	1.6	51.3	8.6	94.4	NaN	0	6.6	0	0	0	36.5	148.7	30.2	3.1	190.5	142.9	333.4
26	2	125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	2	150	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	2	200	0	0	0	0.9	0	3.7	NaN	0	0	0	0	0	0	9.8	0.5	0	8.7	0	8.7
26.25	3	0	0	0	0	2.9	6.1	5.4	NaN	0	4	0	0	0	49.4	0	3.2	2.3	50.3	17.3	67.7
26.25	3	20	0	1.7	0	3.7	5	7.6	NaN	0	4.9	0	0	0	63.4	6.9	4.7	2.8	55.5	25.8	81.3
26.25	3	35	0	1.8	0	4.4	6.2	9.7	NaN	0	4	0	0	0	75.2	7.1	5.7	2.7	56	23.5	79.5
26.25	3	50	0	5.1	0	6.6	7.6	14.7	NaN	0	3.2	0	0	0	70.5	7.7	6.3	2.6	69.2	36.8	106
26.25	3	65	0	4.4	0	6.9	5.7	15.3	NaN	0	3.3	0	0	0	43.4	12.4	4.6	1.9	57.2	43.2	100.5
26.25	3	80	0	7.9	0	7.3	2.7	19.4	NaN	0	1.8	0	0	0	35.1	26.7	9	1.8	113.5	20.7	134.2
26.25	3	100	0	24.7	2.9	47.3	5.3	72.6	NaN	0	3.6	0	0	0	63.9	172.3	35.4	4.4	302.9	44.8	347.7
26.25	3	125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
